fold	unfold
track	trackless
will	unwilling
list	unlisted
payment	nonpayment
back	backless
sharp	dull
tone	toneless
groom	ungroomed
lubricate	unlubricated
employee	employer
chaste	unchaste
intentionally	unintentionally
standard	nonstandard
straight	crook
qualify	unqualified
finite	infinite
symmetrically	asymmetrically
pin	unpin
integrative	disintegrative
feminine	neuter
voluntary	involuntary
validate	invalidate
same	different
export	import
malicious	unmalicious
civilian	serviceman
desirable	undesirable
offensive	defensive
king	queen
fame	infamy
worth	worthlessness
some	all
qualify	disqualify
convenience	inconvenience
spatial	nonspatial
saddle	unsaddle
ascend	descend
wet	dry
fauna	vegetation
web	unwebbed
exit	enter
attention	inattention
decipher	undeciphered
cool	heat
unravel	ravel
irritate	soothe
selfish	unselfish
furrow	unfurrowed
typical	atypical
vascular	avascular
early	late
composure	discomposure
worry	reassure
most	least
infect	disinfect
affirmative	negative
confirm	negate
concern	unconcern
loyally	disloyally
much	little
sensational	unsensational
lighten	darken
shutter	unshuttered
bridle	unbridle
dawn	sunset
carnivorous	insectivorous
net	gross
punish	unpunished
truth	falsity
stage	unstaged
civility	incivility
dismantle	assembly
audibly	inaudibly
coarse	fine
hate	love
reality	unreality
singular	plural
intrusive	extrusive
moderation	immoderation
prescription	nonprescription
protect	unprotected
abundance	scarcity
back	ahead
reassure	unreassuring
bloody	bloodless
prosecution	defense
heterogeneous	homogeneous
usefully	uselessly
continuance	discontinuance
foot	head
shade	unshaded
down	up
born	unborn
detect	undetected
cook	raw
classify	unclassified
classical	nonclassical
sensitively	insensitively
absorb	emit
secure	insecure
tense	relax
coastal	inland
beautifully	unattractively
aliquot	aliquant
advantage	disadvantage
know	unknown
refuse	accept
admit	reject
objectively	subjectively
eared	earless
ambiguously	unambiguously
personalize	depersonalize
christian	unchristian
clothe	unclothe
exclude	include
break	unbroken
expire	unexpired
clean	unclean
underestimate	overestimate
bottom	side
rust	rustless
excite	unexciting
confine	unconfined
respect	disrespect
arrive	leave
perceptible	imperceptible
fitness	unfitness
conclusively	inconclusively
offense	defense
realistic	unrealistic
passionate	passionless
wholesome	unwholesome
sympathetic	unsympathetic
credit	cash
obedience	disobedience
punctual	unpunctual
loudly	softly
rationally	irrationally
travel	untraveled
soften	harden
citizen	foreigner
palpable	impalpable
gallantly	unchivalrously
thermal	nonthermal
tune	untune
predictable	unpredictable
correct	incorrect
head	headless
laugh	cry
sonic	subsonic
hypertensive	normotensive
coordination	incoordination
upstairs	downstairs
clear	unclear
node	antinode
contraction	expansion
holy	unholy
register	unregistered
decelerate	accelerate
bear	nonbearing
heavy	light
fortunate	unfortunate
underhand	overhand
augmentation	diminution
fabrication	dismantle
carve	uncarved
warm	cool
coherently	incoherently
sane	insane
outwardly	inwardly
tie	untie
mild	intense
outer	inner
intellectual	nonintellectual
worthy	unworthy
elegant	inelegant
tan	untanned
lose	save
edible	inedible
prove	unproved
regular	irregular
defiant	compliant
plan	unplanned
ability	inability
saturate	unsaturated
masculine	feminine
natural	artificial
naturalness	unnaturalness
forbid	permit
clean	dirty
ripeness	greenness
scramble	unscramble
nephew	niece
traceable	untraceable
invalidate	validate
shrink	stretch
material	immaterial
true	false
utopia	dystopia
roof	roofless
former	latter
sadistic	masochistic
reverent	irreverent
human	nonhuman
frequently	rarely
nascent	die
wax	unwaxed
content	discontent
smooth	rough
unnaturally	naturally
masculinity	femininity
hush	louden
mobile	immobile
conservative	liberal
atheism	theism
superhuman	subhuman
corrupt	incorrupt
wax	wane
systematically	unsystematically
stifle	stimulate
deficit	lead
onside	offside
rational	irrational
real	unreal
hot	cold
joy	sorrow
institutional	noninstitutional
sensory	extrasensory
organize	unorganized
expansive	unexpansive
voice	unvoiced
charge	uncharged
alkaline	amphoteric
multiculturalism	nationalism
treat	untreated
advance	withdraw
blur	focus
hard	soft
analytic	synthetic
right	leave
study	unstudied
high	low
agitate	unagitated
comb	uncombed
credibility	incredibility
wrap	unwrap
securely	insecurely
clear	opaque
dead	live
convertible	inconvertible
slippery	nonslippery
fatty	nonfat
approachable	unapproachable
worldly	unworldly
immeasurably	measurably
pack	unpack
diplomatic	undiplomatic
familiarity	unfamiliarity
orient	unoriented
familiar	unfamiliar
distal	proximal
fluency	disfluency
euphoria	dysphoria
progress	regress
dilute	undiluted
partial	impartial
tense	lax
prudent	imprudent
stuff	unstuff
mushroom	toadstool
progressive	regressive
imitative	nonimitative
permissive	preventive
please	displease
normally	unusually
melt	unmelted
train	untrained
creative	uncreative
gladden	sadden
decrease	increase
consequence	inconsequence
collective	distributive
disproportionately	proportionately
experience	inexperienced
competent	incompetent
connect	disconnect
conventional	unconventional
parent	unparented
advantage	penalty
obedient	disobedient
speak	nonspeaking
indicate	contraindicate
sensible	insensible
happiness	sadness
low	raise
courteous	discourteous
be	nonexistence
salient	re-entrant
deny	allow
willingness	unwillingness
vulnerable	invulnerable
here	there
exclusive	inclusive
lock	unlock
rhyme	unrhymed
stubborn	docile
rightly	unjustly
backward	forward
drain	undrained
injectable	uninjectable
sight	blind
provocative	unprovocative
lively	dull
lead	follow
hurriedly	unhurriedly
past	present
subsurface	overhead
reactive	unreactive
specific	nonspecific
fraternal	identical
well	ill
decisiveness	indecisiveness
tire	rest
centralize	decentralize
satisfy	dissatisfy
well	badly
cheer	dishearten
loose	tight
attack	defend
blend	unblended
relevance	irrelevance
commission	noncommissioned
front	rear
awaken	unawakened
plow	unplowed
anonymous	onymous
empty	fill
compact	loose
deviate	conform
stabilize	destabilize
comprehensively	noncomprehensively
potent	impotent
act	refrain
fasten	unfasten
renewable	unrenewable
fall	rise
epidemic	ecdemic
operational	nonoperational
restrictive	unrestrictive
caution	incaution
balance	unbalance
continental	intercontinental
controversial	uncontroversial
hierarchical	nonhierarchical
lipped	lipless
domestic	undomestic
adult	juvenile
nadir	zenith
fat	thin
preventable	unpreventable
shave	unshaven
toe	toeless
mow	unmown
kindness	unkindness
action	inaction
firmness	unsoundness
solid	hollow
taciturn	voluble
melodious	unmelodious
significantly	insignificantly
likeness	unlikeness
appear	vanish
move	nonmoving
incline	disincline
comfortably	uncomfortably
analysis	synthesis
activation	inactivation
wean	unweaned
cyclic	acyclic
hospitable	inhospitable
more	less
bold	timid
critical	noncritical
fortunately	unfortunately
awake	asleep
memorably	unmemorably
significance	insignificance
balance	imbalance
welcome	unwelcome
innocent	guilty
inside	outside
discontinue	continue
immediate	mediate
infinitely	finitely
stimulate	unstimulating
courtesy	discourtesy
perfect	imperfect
distant	close
stop	start
reflect	unreflected
flexibility	inflexibility
natural	flat
noble	ignoble
polish	unpolished
enforceable	unenforceable
soften	sharpen
downgrade	upgrade
brother	sister
label	unlabeled
solvency	insolvency
quietly	unquietly
paint	unpainted
porous	nonporous
abundant	scarce
susceptible	unsusceptible
rim	rimless
magnetic	antimagnetic
aerobic	anaerobic
ultimate	proximate
impotence	potency
decent	indecent
good	worse
burden	unburden
optimist	pessimist
emotionally	unemotionally
marry	unmarried
auspicious	inauspicious
consistency	inconsistency
equitable	inequitable
perishable	imperishable
settle	unsettle
most	few
successfully	unsuccessfully
humanely	inhumanely
inclination	disinclination
infectious	noninfectious
nourish	malnourish
manly	unmanly
national	local
climactic	anticlimactic
cut	uncut
love	unloving
regularly	irregularly
surgical	nonsurgical
ease	difficulty
clip	unclip
gear	ungeared
dress	undress
regenerate	unregenerate
easterly	westerly
homogeneity	heterogeneity
charitable	uncharitable
separation	union
belly	bellyless
unilateral	multilateral
tough	tender
rig	unrigged
early	middle
real	nominal
conceal	reveal
changeable	unchangeable
adventurous	unadventurous
pose	unposed
honor	dishonor
oblige	disoblige
active	passive
normal	abnormal
earn	unearned
age	young
good	evil
infallibility	fallibility
weave	unwoven
worthiness	unworthiness
dock	undock
depreciate	appreciate
adroit	maladroit
downstairs	upstairs
probable	improbable
finish	unfinished
absolute	relative
avenge	unavenged
loser	winner
reasonable	unreasonable
comedy	tragedy
gradual	sudden
wooded	unwooded
rise	set
colorful	colorless
meaningful	meaningless
big	small
parallel	oblique
empirically	theoretically
favorable	unfavorable
deep	shallow
hardness	softness
catalyst	anticatalyst
diversify	specialize
happen	dematerialize
achiever	failure
opportune	inopportune
completeness	incompleteness
rigid	nonrigid
process	unprocessed
scholarly	unscholarly
suffer	enjoy
combustible	noncombustible
muzzle	unmuzzle
politic	impolitic
