share	common
familiar	everyday
impressionable	susceptible
human	hominian
unite	ally
full	boom
multilateral	deep-lobed
biological	beget
ascend	assurgent
illogical	inconsequential
heavy	burdensome
inquire	inquisitory
asymmetrical	lopsided
color	motley
backward	reflexive
true	apodictic
temperate	abstemious
parallel	nonconvergent
old	long-ago
disagreeable	annoy
write	handwritten
concentric	coaxial
artificial	conventionalize
enclose	include
psychoactive	psychedelic
protect	burglarproof
secure	assure
unconventional	spaced-out
impolite	unparliamentary
tongue	tonguelike
honorable	august
occupy	busy
distribute	break
regular	stand
inactive	dark
large	queen-size
heavy	leaden
difficult	try
unoccupied	free
possible	affirmable
unsteady	falter
fashionable	swank
common	standard
cover	splashy
absorbent	shock-absorbent
pure	pristine
excite	titillate
tight	rainproof
write	codify
conspicuous	big
impressive	important-looking
ascend	up
same	duplicate
salty	brackish
travel	move
fruitful	dark-fruited
insoluble	water-insoluble
wear	batter
dry	dry-shod
proper	halal
painful	agonize
wooded	forest
hostile	head-on
logical	ratiocinative
available	open
affect	mannered
net	clear
unfair	cheat
mobile	airborne
multilingual	trilingual
southern	confederate
insane	screw-loose
unemotional	unblinking
plan	put-up
absorbent	hygroscopic
cook	braise
illiterate	analphabetic
vulnerable	compromise
instructive	demonstrative
similar	correspond
dead	lifeless
current	live
abnormal	vicarious
continuous	around-the-clock
full	fill
nose	hook-nosed
alter	revise
simple	dolabriform
ineffective	toothless
worthless	nugatory
much	overmuch
regressive	unmodernized
abnormal	antidromic
afraid	alarm
please	delightful
classify	categorize
violent	convulsive
basic	fundamental
combine	occlude
sanitary	hygienic
invigorate	corroborant
freeze	glaciate
afraid	hydrophobic
subsurface	submerge
distinct	razor-sharp
cardinal	eleven
fast	andantino
whole	undivided
unsupported	unbrace
commit	pledge
hollow	deep-set
equal	isothermal
material	physical
nonsectarian	interchurch
sexy	lecherous
inalienable	absolute
inferior	coarse
painless	pain-free
efficient	businesslike
aerobic	aerobiotic
derive	derivative
net	take-home
clothe	overdress
pay	postpaid
cardinal	two
unchanged	idempotent
formal	white-tie
unenthusiastic	cold
rough	crispate
sporadic	fitful
ripe	age
elastic	chewy
bed	double-bedded
dry	semi-dry
taciturn	reticent
untrustworthy	slippery
violent	rampageous
love	enamor
damage	bedraggle
clean	dry-cleaned
obligate	suppose
metallic	tinny
round	apple-shaped
damage	broken-backed
abnormal	defective
heavy	oppressive
incompatible	antagonistic
inhabit	occupy
bold	foolhardy
fragrant	perfume
ambiguous	polysemous
abundant	abound
request	invite
educate	semiliterate
dominant	govern
cardinal	eight
hard	woody
immortal	amaranthine
central	bifocal
slow	larghetto
soft	soft-spoken
joyful	beatific
pure	sublimate
incoming	in
beautiful	beauteous
affect	impress
same	identical
late	after-hours
wise	perspicacious
representational	eidetic
constrict	narrow
follow	pursue
essential	must
dull	edgeless
important	grand
disloyal	rebellious
exempt	excuse
essential	no-frills
dishonest	false
curse	damnable
round	roundish
attractive	engage
unreal	fabricate
intense	bad
compound	ternate
impractical	crazy
crook	windblown
even	straight-grained
cardinal	ninety-two
equip	armor
obstruct	thrombose
insubstantial	shadowy
inconsistent	spotty
noncompetitive	monopolistic
hot	blister
healthful	preventive
standard	criterial
multilateral	trilateral
record	tape
change	vary
energetic	drive
color	buff-colored
thin	diaphanous
defensive	defend
loyal	doglike
high	high-level
simple	caudate
polite	courteous
reactive	activate
socialistic	collectivist
incorrigible	unreformable
stubborn	bloody-minded
foot	flat-footed
glorious	divine
esoteric	cabalistic
beautiful	gorgeous
unfit	crookback
free	unbind
inferior	indifferent
real	actual
communicative	yarn-spinning
center	centrist
empty	blank
vary	omnifarious
anabolic	constructive-metabolic
destroy	blight
sacred	ineffable
cardinal	forty-one
color	rust-colored
erect	erectile
perpendicular	right
religious	devout
resolute	foursquare
check	see
old	middle-aged
insane	psychotic
ashamed	discredit
legible	clear
polar	circumpolar
synchronous	coexistent
thin	spindle-legged
erect	stand-up
evolve	develop
cool	cold
exact	rigorous
disingenuous	distort
spirit	vibrant
covert	black
irresponsible	trigger-happy
changeable	fluid
narrow	strait
unaccustomed	new
compact	pack
simple	ovate
dry	air-dried
inexperienced	raw
sensitive	irritable
cover	awninged
cheap	low-budget
compound	trilobate
intrusive	irruptive
sexy	orgiastic
cloudy	cloudlike
dominant	control
cardinal	thirty-eight
tonal	diatonic
establish	legitimate
clothe	vestmented
intolerant	bigoted
commensurate	coextensive
regular	standard
scientific	technological
maternal	maternalistic
high	graduate
simple	simplex
soft	euphonious
please	admirable
valid	legal
new	revolutionary
high	adenoidal
ordinary	average
unfinished	roughhewn
superior	brilliant
provincial	bumpkinly
shallow	fordable
social	cultural
season	cure
offensive	antipersonnel
damage	batter
unfortunate	doom
mobile	rangy
meager	bare
frail	light-boned
preserve	freeze-dry
unappealing	off-putting
energetic	strenuous
die	moribund
wet	muggy
nonsectarian	undenominational
intense	thick
evil	black
relate	age-related
back	spiny-backed
undamaged	intact
scholarly	erudite
high	peaky
dark	cimmerian
woody	oaken
crystalline	polycrystalline
flatter	ingratiate
humane	human-centered
fast	hurry
back	stiff-backed
short	abbreviate
significant	epochal
impotent	impuissant
helpful	adjuvant
dominant	override
crown	comate
expansive	distensible
hot	sultry
disreputable	discredit
peripheral	fringy
integrate	mainstreamed
unloved	despise
attributable	credit
mature	prime
mental	psychic
unassisted	naked
concern	afraid
predictable	inevitable
long	lifelong
colorful	fluorescent
move	aflare
establish	deep-rooted
compliant	amenable
short	truncate
deaf	tone-deaf
first	prime
unjust	wrongful
bed	single-bedded
colorless	drab
mismatch	ill-sorted
large	titanic
attractive	bewitch
leave	liberal
backward	cacuminal
arbitrary	discretionary
critical	discriminative
late	latish
crook	gnarl
unequal	unbalance
slippery	slip
rough	homespun
integrate	coordinate
well	asymptomatic
write	cursive
communicative	samoyedic-speaking
light	bioluminescent
alive	viable
size	ferret-sized
heavy	big
unstable	coseismic
forward	overfamiliar
other	new
concave	concavo-convex
dirty	smudgy
susceptible	suggestible
unpaid	outstanding
unsuccessful	empty-handed
decrease	allargando
unemployed	idle
serious	thoughtful
colorful	ablaze
perceptive	observant
overhand	round-arm
incline	accident-prone
body	silver-bodied
experience	full-fledged
continental	transcontinental
homosexual	homoerotic
equivocal	indeterminate
stimulate	challenge
thin	wafer-thin
general	gross
tonal	key
expendable	sacrificeable
uninterested	dull
toxic	hepatotoxic
deductive	inferential
descend	down
guilty	finable
bottom	nether
border	fringe
leeward	downwind
compound	bipinnate
unready	flat-footed
arm	claw
increase	augmentative
permeable	semipermeable
ordinary	indifferent
helpful	implemental
cardinal	billion
hopeless	black
thin	capillary
noble	coroneted
unsuccessful	self-defeating
careful	thorough
standard	authoritative
cold	arctic
injure	black-and-blue
perpendicular	orthogonal
unforgettable	haunt
gear	engage
equal	quit
increase	progressive
beautiful	pretty
proper	become
simple	lanceolate
polish	bright
nonhuman	anthropoid
form	funnel-shaped
rhetorical	stylistic
stale	rancid
unmarried	mateless
unclear	confuse
load	undischarged
identifiable	recognizable
flexible	limber
primary	capital
unrealistic	delusive
adaptable	filmable
unite	unsegmented
causative	causal
unhealthy	blebby
stormy	billowy
complete	accomplish
equip	helmeted
wide	wide-screen
cardinal	eighty-eight
unsaturated	polyunsaturated
exclusive	inside
noisy	blatant
voluntary	freewill
racial	racist
identifiable	acknowledgeable
complex	interlace
damage	bend
undocumented	unregistered
immobile	immovable
homogeneous	solid
point	pyramidal
wild	unbroken
due	callable
characteristic	diagnostic
tangle	throw
relate	akin
multilateral	palmately-lobed
unaffected	unmannered
terrestrial	onshore
cardinal	hundred
relax	degage
organic	nonsynthetic
form	football-shaped
track	caterpillar-tracked
heterogeneous	disparate
invulnerable	airtight
sexy	sex-starved
east	eastside
rough	gravelly
unhealthy	chilblained
orient	dimension
declare	self-proclaimed
conditional	counterfactual
safe	risk-free
unskilled	bungle
different	disparate
dead	doom
shape	work
equal	coordinate
clean	unsoiled
unrestricted	open
sow	inseminate
cardinal	sixty-one
inactive	indolent
stupid	yokel-like
worthless	rubbishy
addict	alcoholic
incline	monoclinal
sexy	leer
obvious	apparent
perfect	clear
cook	well-done
inbred	interbreed
ambitious	overambitious
round	crescent
form	t-shaped
national	nationalist
confident	cocksure
sweep	sweptback
size	rabbit-sized
dominant	sovereign
typical	representative
female	egg-producing
conceal	hide
fall	accrue
orient	familiarize
violent	hot
posterior	back
fatty	superfatted
useless	futile
comprehensive	cosmopolitan
alkaline	base-forming
maternal	motherlike
productive	nut-bearing
sweep	sweptwing
military	militaristic
religious	churchly
instructive	doctrinaire
subordinate	associate
lengthwise	end-to-end
removable	dismissible
destroy	shatter
sober	drug-free
practical	serviceable
east	eastbound
unconnected	detach
obligatory	bounden
untroubled	clear
negligent	lax
construct	build
cover	dabble
comfortable	soothe
armor	bulletproof
high	command
inhumane	cold
important	burn
afraid	aghast
natural	unbleached
fancy	elaborate
stand	dead
provocative	agitative
extraordinary	preternatural
unfinished	undo
unfaithful	adulterous
changeable	jittering
southern	grey
unsteady	fluctuate
lose	curse
unwary	gullible
color	chestnut-colored
relate	coreferent
fast	meteoric
rough	scabby
brunet	bronze
compatible	congruous
pay	compensate
cardinal	fifty-seven
hairy	furred
diligent	assiduous
unaccompanied	unattended
irrelevant	moot
quantitative	value
critical	appraise
irregular	casual
young	four-year-old
surprise	stun
irreversible	permanent
unlisted	over-the-counter
opaque	lightproof
multilateral	tripartite
move	afoot
male	priapic
instructive	didactic
legitimate	lawfully-begotten
paranormal	psychic
distrustful	jealous
past	former
artificial	near
unconventional	go-as-you-please
bright	beam
south	southwesterly
powerful	coercive
tense	strain
careful	particular
impressive	expansive
private	confidential
unsatisfactory	off
concise	pithy
coarse	granulate
cyclic	closed-chain
high	steep
nice	good
shallow	light
move	vibratory
sorrowful	lament
cardinal	five
cardinal	ninety-seven
sad	doleful
impolite	ill-mannered
rational	intelligent
undemocratic	despotic
tidy	neat
spirit	zestful
general	systemic
clement	lenient
cheap	low-cost
cheerful	buoyant
form	tassel-shaped
plan	preset
rough	alligator
furrow	corrugate
offensive	assaultive
unbreakable	infrangible
furnish	stock
breathless	asphyxiate
perfect	uncorrupted
forget	leave
south	southeast
desirable	plummy
illegal	criminal
profitable	fat
unmanageable	indocile
touch	converge
headless	behead
superior	majestic
smoky	smoke
much	some
hierarchical	class-conscious
full	egg-filled
inferior	middle-level
emotional	charge
attractive	photogenic
representational	delineative
adorn	inflame
national	federal
swear	bind
dirty	uncleanly
fancy	puff
undeniable	incontrovertible
territorial	regional
weak	namby-pamby
simple	obovate
consistent	accordant
exact	literal
incline	skew
slow	slow-moving
stimulative	excitant
indistinct	faint
clear	unfrosted
encourage	promotive
inhospitable	water-wash
dynamic	slash
constructive	creative
important	all-important
compose	calm
uncomfortable	bad
unbroken	solid
undefeated	unbeaten
periodic	semiweekly
short	close
uncut	unpierced
additive	incremental
manual	hand-operated
settle	firm
desirous	nostalgic
digest	suffer
intelligent	quick
cover	sun-drenched
proud	arrogant
color	brightly-colored
strong	vehement
cook	steam
leave	near
regenerate	born-again
good	well-behaved
acknowledge	self-confessed
bare	unroofed
descend	descendant
submissive	bow
perfect	ideal
unpaid	non-paying
early	crude
irrelevant	digressive
intolerable	unsupportable
uncomfortable	disquiet
acknowledge	putative
excite	elate
moral	righteous
sincere	heart-whole
illegal	amerciable
adorn	gilt-edged
spirit	feisty
soft	downy
modest	shamefaced
clean	pristine
intrusive	intrude
backward	retral
active	hands-on
plant	seed
forceful	bruise
immeasurable	abysmal
graceful	gracile
imitative	apish
worthy	worthwhile
conspicuous	outstanding
meaningless	insignificant
comprehensive	door-to-door
noble	royal
relate	enate
inexplicable	unaccountable
adhesive	gluey
freeze	icy
preserve	cure
develop	mature
frivolous	idle
tough	hempen
unreal	eye-deceiving
inferior	low-grade
sharp	fulgurating
tough	coriaceous
afraid	claustrophobic
love	loverlike
helpful	accommodate
naive	childlike
western	northwestern
small	undersize
slow	largo
soft	flaccid
congruent	coincident
naive	credulous
defensive	antitank
advertise	crusade
acknowledge	accept
northern	boreal
back	high-backed
familiar	common
handmade	handsewn
inevitable	ineluctable
best	high-grade
interest	absorb
posterior	caudal
wet	boggy
high	soar
simple	lyrate
imitative	mimetic
unpleasant	unhappy
impart	carry
unquestionable	unimpeachable
determine	discover
timid	bashful
divide	four-pronged
tame	cultivate
androgynous	pseudohermaphroditic
improper	out-of-the-way
bind	brassbound
beautiful	stun
undefined	indefinable
ready	fit
uncontrolled	wild
realistic	virtual
ostentatious	flamboyant
censor	expurgate
right	rightmost
stain	spot
protect	stormproof
color	red-flowered
hairy	dark-haired
wet	tacky
armor	armor-clad
love	attach
communicative	french-speaking
large	big
gear	double-geared
excavate	locate
connect	engage
proud	house-proud
fashionable	trendsetting
unfit	subhuman
public	semipublic
inferior	scrawny
whole	integral
connect	couple
separate	disjunct
fortunate	heaven-sent
sexy	sex
convenient	favorable
furrow	rut
elegant	exquisite
insensitive	soulless
high	eminent
other	opposite
integrative	compositional
persuasive	coax
sexual	sex
permanent	stand
official	semiofficial
explicit	express
immortal	deific
inferior	third-rate
indefinite	indecisive
essential	staple
illegal	unratified
passionate	choleric
present	exist
arrange	place
fashionable	faddish
long	longish
fit	worthy
hairless	nonhairy
meager	hardscrabble
dry	arid
curve	eellike
concave	recess
rim	red-rimmed
disagreeable	nerve-racking
significant	large
guide	radio-controlled
commercial	mercantile
impermissible	untouchable
weak	anemic
sexy	raunchy
domestic	municipal
increase	hyperbolic
peripheral	off-base
submissive	dominate
multilateral	six-sided
unwanted	undesired
sharp	keen
rough	shag
objective	impersonal
stingy	grudge
multilateral	three-cornered
worldly	economic
disloyal	insurgent
protect	snug
superior	capital
rough	bidentate
inhabit	rock-inhabiting
cardinal	seventy-four
disreputable	seamy
spirit	resilient
obligatory	impose
dirty	lousy
make	work
salty	saline
septic	purulent
clear	limpid
unsuccessful	attempt
maternal	motherly
difficult	hard-fought
immature	underdevelop
reliable	test
attentive	solicitous
communicative	heraldic
artful	crafty
manageable	steerable
distribute	divide
unsettle	itinerant
fallible	errant
dry	desiccate
tire	careworn
autumnal	autumn-flowering
mental	psychogenic
carve	engrave
inexplicable	cryptic
communicative	japanese-speaking
strange	quaint
revive	resurgent
invalid	sophistic
charge	negative
unsuccessful	unplaced
organize	re-formed
function	run
invisible	lightless
calm	settle
raw	untoasted
classical	neoclassic
unfit	cripple
thick	dense
saturate	intense
offensive	hideous
fat	buxom
skilled	technical
toe	pointy-toed
narrow	bare
hungry	empty
equip	accouter
popular	hot
forte	fortissimo
tense	arouse
cardinal	twenty-one
passionate	lustful
impervious	corrosion-resistant
stable	stabile
bloody	bloodthirsty
sour	ferment
epidemic	pandemic
robust	big-boned
prove	verify
steady	surefooted
scholarly	academic
painful	rack
helpful	stabilize
antiseptic	bactericidal
color	cinnamon-red
angular	unicuspid
commercial	commercialize
controversial	arguable
complete	allover
border	box
operative	work
immediate	direct
inexact	odd
fix	unadjustable
difficult	baffle
tame	subdue
color	flame-colored
communicative	finno-ugric-speaking
eastern	east-central
concise	brief
unmitigated	arrant
illegitimate	base
concentrate	single
profitable	gainful
coat	back
cover	seal
uneven	lumpy
sharp	sharp-toothed
perishable	decayable
succeed	ensue
modify	adapt
address	self-addressed
back	hardbacked
racial	biracial
generous	unselfish
point	spikelike
soft	mellow
mobile	float
supernatural	marvelous
helpful	laborsaving
sharp	chisel-like
involve	neck-deep
size	mouse-sized
hot	white-hot
homemade	home-baked
affix	appendant
incomparable	incommensurable
vary	varicolored
disloyal	faithless
up	ahead
run	play
active	brisk
adorn	panel
correct	aplanatic
fast	blister
abuse	batter
thin	slender-waisted
noticeable	note
strong	hard
similar	analogous
awake	insomniac
crowd	huddle
unfavorable	adverse
civilian	civil
stormy	boisterous
blind	snow-blind
informal	unceremonious
sharp	drill-like
concise	cryptic
brunet	grizzle
affect	plummy
privilege	sweetheart
horizontal	flat
cautious	guard
carnivorous	predacious
extraordinary	some
anterior	frontal
unforgettable	memorable
fresh	good
coil	wind
prophetic	clairvoyant
divide	bifurcate
long	durable
early	new
organize	well-conducted
obedient	acquiescent
fit	condition
common	demotic
racial	multiracial
declare	allege
combustible	incendiary
constructive	inferential
excite	tickle
injure	disjoint
wear	waterworn
scholarly	bookish
light	phosphorescent
fashionable	mod
dull	soft
damage	storm-beaten
unpainted	bare
sour	acetose
peaceful	pacific
live	unfilmed
untroubled	trouble-free
elective	electoral
early	premature
angry	smolder
harmful	nocent
horn	bicorn
marry	mate
sad	pensive
cloudy	brumous
better	ameliorate
settle	determine
armor	scaly
indulgent	pamper
color	metal-colored
bloody	internecine
distribute	ration
native	native-born
face	pug-faced
dark	dusky
dynamic	drive
fit	able
please	sweet
automatic	automate
ineffective	unproductive
wintry	winter-blooming
efficient	streamline
pretentious	artsy-craftsy
tasty	hot
top	screw-topped
valid	validate
simple	cordate
publicize	promulgate
smoky	blacken
abundant	copious
obligate	behold
affect	artificial
incomprehensible	unfathomable
incomplete	partial
full	glut
dirty	mucky
cardinal	ninety-one
hurry	helter-skelter
stimulate	excite
young	preteen
alarm	baleful
unhealthy	angry
physical	somatogenic
busy	overbusy
proper	fit
artificial	man-made
stale	bad
multiple	aggregate
elastic	stretch
old	emeritus
west	westside
unaffected	immune
reveal	indicative
unacknowledged	unavowed
different	variant
large	mountainous
variable	protean
wooded	woodsy
tall	leggy
open	yawn
considerable	goodly
unskilled	lubberly
sacred	sacral
counterfeit	bad
constructive	formative
general	pandemic
rough	denticulate
gaseous	gassy
move	mobile
edit	abridge
loyal	allegiant
settle	appoint
superior	well-made
pattern	ring
arm	thistlelike
cyclic	homocyclic
full	congest
incompetent	ineffective
independent	autonomous
alarm	ghastly
round	terete
christian	christianly
pleasant	idyllic
unattached	unengaged
lively	warm
desirous	athirst
bind	fetter
intelligent	bright
counterfeit	pinchbeck
multilateral	bilateral
face	bald-faced
die	fail
subordinate	secondary
fasten	pegged-down
secure	tight
late	advance
cold	shivery
trouble	struggle
pattern	purple-spotted
noisy	swishy
unfaithful	untrue
liquid	liquefiable
democratic	participatory
trustworthy	dependable
wet	clammy
nonpartisan	independent
alarm	chill
unwary	unguarded
periodic	triennial
analytic	isolate
innocuous	innoxious
fast	alacritous
communicative	icelandic-speaking
pattern	tessellate
uncertain	ambivalent
thoughtless	inconsiderate
congenial	sociable
cut	shear
rough	cord
stylish	chichi
cover	white
injure	battle-scarred
legal	statutory
hairy	long-haired
outside	extracurricular
sharp	penetrative
intense	exquisite
assume	fill
unaccompanied	solo
ready	ripe
clean	houseclean
burden	saddle
tasty	salty
grassy	grasslike
narrow	taper
cool	unresponsive
encourage	exhortative
inflexible	fossilize
long	elongate
provincial	corn-fed
political	policy-making
exclusive	selective
tough	chewy
far	distant
clean	wash
divide	segmental
credible	presumptive
important	alpha
colorless	ashen
sexy	hot
descend	rain
coastal	maritime
derive	derivable
respectful	deferent
affect	subject
noncompetitive	accommodative
tasteless	indelicate
opaque	milky
form	foot-shaped
available	lendable
operative	operant
cyclic	alternate
auspicious	fortunate
external	outside
human	anthropoid
horn	antlered
crook	deflective
active	hot
artful	pawky
single	azygous
cold	stone-cold
cardinal	ninety-eight
multiple	quadruple
trace	draw
glorious	empyreal
sexy	autoerotic
close	walk-to
neutral	neutralize
worthless	negligible
relate	cognate
unpleasant	ungrateful
fortunate	felicitous
intrinsic	built-in
tense	electric
ambiguous	double-barreled
cook	lyonnaise
suck	breastfeed
like	suchlike
rib	riblike
meager	measly
lively	burble
adhesive	bondable
covert	undisclosed
undesirable	unenviable
cardinal	fifty-six
no	zero
cellular	cancellate
confine	homebound
dangerous	parlous
arm	armlike
loud	vocal
feminine	powder-puff
extend	stretch
asleep	drowsy
unfamiliar	strange
generous	benevolent
colorful	prismatic
tasty	smoky
artificial	paint
invulnerable	tight
basic	elementary
successful	triple-crown
cold	frore
punitive	penitentiary
bind	furl
cardinal	fifty-nine
energetic	alert
stormy	angry
bind	case
plain	dry
unrestrained	freewheel
noble	queenly
reasonable	healthy
simple	peltate
warm	hearty
synthetic	agglutinative
tight	skintight
homosexual	gay
beak	rostrate
shapely	well-proportioned
equal	tie
theoretical	pure
head	burr-headed
adorn	mount
strong	knock-down
sound	solid
attributable	ascribable
bright	satiny
wide	broad-brimmed
expansive	inflatable
full	lade
inexperienced	uninitiate
thin	papery
destructive	erosive
refine	gentlemanlike
extraordinary	exceed
adhesive	self-sealing
vulnerable	indefensible
delicate	light-handed
moderate	temper
inform	privy
dirty	blasphemous
artful	elusive
extraordinary	pyrotechnic
inland	interior
force	drive
hush	quieten
obligate	tributary
dangerous	self-destructive
unload	dud
central	focal
single	one-man
unknown	unbeknown
taxable	dutiable
eye	keen-eyed
organize	reorganize
decrease	shrivel
patriarchal	patricentric
nourish	stall-fed
complex	colonial
admissible	allowable
repetitive	iterative
lose	stray
space	single-spaced
social	multiethnic
uninhabited	unoccupied
vertical	plumb
distribute	encyclical
surprise	goggle-eyed
valid	legitimate
clothe	dighted
want	crave
unaccompanied	tod
instructive	explanatory
nose	tube-nosed
thin	scarecrowish
unregistered	unlisted
uncertain	doubtful
unwanted	cast-off
impair	anosmic
secure	firm
accurate	surgical
ambiguous	uncertain
nose	pug-nosed
intrusive	encroach
hot	hottish
wasteful	pound-foolish
clothe	caparison
inform	well-read
tasteless	barbaric
cover	moss-grown
dead	stillborn
unite	conjugate
confine	claustrophobic
rough	spinose
soluble	answerable
unhealthy	carbuncled
obvious	open-and-shut
discontinue	interrupt
infinite	dateless
unforgiving	revengeful
adaptable	universal
fatty	greasy
horizontal	level
random	stochastic
proud	please
acceptable	unobjectionable
external	outer
pay	mercenary
bury	belowground
reserve	aloof
descend	drop
untidy	sloppy
drop	sink
afraid	afeard
register	record
plow	till
continual	persistent
healthy	rock-loving
bright	glisten
hitch	catch
surprise	amaze
close	envelop
awaken	arouse
cardinal	twenty-three
cardinal	sixteen
representational	naturalistic
unreal	fabled
inevitable	fatal
inattentive	drowsy
divide	metameric
round	paraboloidal
angular	sharp-cornered
rural	country-style
prejudice	jaundice
involve	active
cardinal	trillion
short	short-range
inexperienced	unpracticed
protective	cautionary
preventive	preclusive
tasty	dainty
free	free-soil
decorate	ornament
elastic	springlike
indulgent	dissipate
smooth	entire
prophetic	precursory
complimentary	encomiastic
multiple	duplex
straight	unbend
low	debase
ascend	ascendant
rich	affluent
distribute	scatter
unhealthy	bloodshot
large	double
heavy	ponderous
complex	gordian
different	several
declare	avow
bless	fortunate
resolute	desperate
increase	crescendo
eager	overeager
careful	minute
partisan	party-spirited
secondary	auxiliary
unreal	illusional
basic	grassroots
adroit	clever
front	foremost
joyful	overjoy
formal	form-only
right	right-minded
first	original
unobstructed	patent
earthly	temporal
sour	lemony
narrow	narrow-mouthed
guide	target-hunting
dirty	scabrous
efficient	economic
adorn	tricked-out
noticeable	broad
unaffected	unstilted
hot	sizzle
flatter	become
unlimited	untrammeled
compound	part
illegible	indecipherable
idle	lackadaisical
homemade	home-cured
high	altissimo
good	fine
cold	crisp
track	half-track
additive	complemental
christian	christlike
soluble	alcohol-soluble
unsuccessful	down-and-out
stale	limp
thick	gelatinous
color	chocolate-colored
old	ancient
conciliatory	soft
save	ransom
horn	horny
legal	jural
inform	hep
settle	built-up
periodic	bimonthly
frivolous	trivial
emotional	soulful
eventful	lively
private	toffee-nosed
backward	inverse
literate	literary
stormy	dirty
form	pitcher-shaped
independent	unconditional
commercial	technical
centralize	centripetal
inferior	second-class
brave	game
liberal	welfarist
curve	falcate
pattern	yellow-spotted
productive	oil-bearing
complete	all-out
worthless	otiose
bare	bald
unnatural	violent
clear	improve
improper	wrong
unconventional	bohemian
incoming	designate
stubborn	determine
intense	profound
sorrowful	elegiac
decrease	fall
simple	acuminate
unreal	hallucinatory
satisfactory	copacetic
incredible	fabulous
normal	modal
concentrate	bunchy
long	long-dated
divide	pentamerous
overt	naked
refine	well-bred
accessible	handy
foreign	establish
native	autochthonal
curse	accurse
motivate	affect
unhealthy	colicky
smooth	glassy
southern	austral
short	half-length
impervious	runproof
starchy	starchlike
wet	humid
cardinal	sixty
injure	lacerate
uncontrolled	loose
moderate	middle-of-the-road
synonymous	similar
large	massive
attractive	glossy
adaptable	convertible
long	polysyllabic
evil	bad
