hominid	hominidae
emperor	saturnia
lemur	lemuroidea
rabbi	rabbinate
proletarian	labor
egyptian	egypt
brant	branta
thyme	thymus
substitute	bench
sister	sorority
commissioner	committee
wren	troglodytidae
shopkeeper	tradespeople
believer	denomination
sheep	herd
eel	anguilliformes
spartan	sparta
pelican	pelecanidae
sidewinder	crotalus
state	country
kenyan	kenya
scleroderma	sclerodermataceae
israeli	israel
dragon	draco
barley	hordeum
staff	school
kuwaiti	kuwait
perch	percidae
denmark	scandinavia
kola	cola
maltese	malta
wildcat	felis
parsley	petroselinum
albanian	albania
cormorant	phalacrocorax
weaver	ploceidae
buckwheat	polygonum
bridesmaid	wed
yeast	endomycetales
form	specie
frenchman	france
copilot	crew
nightingale	luscinia
oleander	nerium
pear	pyrus
tennessee	confederacy
cockroach	blattodea
lemming	cricetidae
nubian	nubia
crocodile	crocodylus
stringer	team
cuckoo	cuculidae
peregrine	falco
lilac	syringa
lens	papilionoideae
george	hanover
otter	lutra
lari	charadriiformes
fish	pisces
sycamore	ficus
mafioso	mafia
coco	palmae
placental	eutheria
guava	psidium
sponge	porifera
beet	beta
mccartney	beatles
booby	sula
locomotive	train
capella	auriga
coffee	coffea
invalid	homebound
malay	malaysia
fish	school
blue	lycaena
walnut	juglans
welshman	wale
cricket	gryllidae
citizen	citizenry
smelt	osmeridae
schoolmaster	lutjanus
adonis	ranunculaceae
dog	pack
mangrove	rhizophora
lebanese	lebanon
wombat	vombatidae
brake	pteris
roller	coraciidae
george	windsor
brother	brotherhood
periwinkle	catharanthus
membership	organization
eagle	accipitridae
gabonese	gabon
cougar	felis
fennel	foeniculum
bus	fleet
conch	strombus
grouse	tetraonidae
sagittarius	sagittariidae
silkworm	bombyx
goose	gaggle
cypriot	cyprus
mint	mentha
kudzu	pueraria
milkweed	asclepias
mara	dolichotis
bluegrass	poa
back	backfield
moroccan	morocco
chilean	chile
cactus	cactaceae
animal	animalia
columbo	frasera
wallflower	erysimum
lizard	saururus
uma	iguanidae
centrist	center
letter	alphabet
sturgeon	acipenseridae
felicia	compositae
division	business
quince	cydonia
mongoose	herpestes
marsupial	marsupialia
child	family
bodyguard	guard
starfish	asteroidea
canadian	canada
viper	viperidae
cat	hypochaeris
voter	electorate
aircraft	fleet
mackerel	scombridae
ox	bos
afghan	afghanistan
vietnamese	vietnam
lotus	nymphaea
anise	pimpinella
peer	peerage
calf	cattle
bride	wed
ti	cordyline
maria	calophyllum
atticus	saturniidae
cadre	military
ginseng	panax
truffle	tuber
sequoia	cupressaceae
insect	arthropoda
amphibian	amphibia
huckleberry	gaylussacia
banana	musa
venezuelan	venezuela
hound	cynoglossum
char	salvelinus
mule	equus
polyp	cnidaria
trojan	troy
hare	lepus
artichoke	cynara
tick	acarina
peanut	arachis
bovine	bos
pine	pinus
osprey	pandion
japanese	japan
edward	windsor
kite	accipitridae
star	galaxy
roach	rutilus
uighur	xinjiang
hummingbird	trochilidae
silkworm	saturniidae
netherlands	benelux
cotton	gossypium
marguerite	argyranthemum
hop	humulus
groom	wed
jellyfish	cnidaria
boilerplate	boiler
cedar	cedrus
sicilian	sicily
lobster	reptantia
partner	partnership
spurge	euphorbia
sibling	family
rose	rosa
stork	ciconiidae
fungus	fungi
sucker	catostomidae
tortoise	testudinidae
rape	brassica
samoan	samoa
acer	aceraceae
paris	liliaceae
uta	iguanidae
ridley	lepidochelys
missouri	confederacy
spat	bivalvia
mesquite	prosopis
asp	naja
beech	fagus
cisco	coregonus
battalion	regiment
panelist	panel
chapter	association
audience	populace
siberian	siberia
yew	taxaceae
squash	cucurbita
division	corps
brazilian	brazil
honeybee	apis
southerner	south
redhead	aythya
castor	gemini
buzzard	cathartes
rana	ranidae
swan	anatidae
piper	piperaceae
haitian	haiti
savory	satureja
sagebrush	compositae
class	phylum
bee	apoidea
castor	castoridae
walrus	odobenus
noun	declension
greek	greece
dory	zeidae
mite	acarina
eland	taurotragus
partridge	covey
ant	formicidae
sloth	bradypodidae
cypress	cupressus
lion	panthera
somalian	somalia
theropod	theropoda
palm	palmae
penguin	spheniscidae
virginia	confederacy
gambian	gambia
hickory	carya
barnacle	cirripedia
key	keyboard
anteater	myrmecophagidae
ethiopian	ethiopia
underbrush	forest
oyster	ostreidae
composite	compositae
ukranian	ukraine
scorpion	scorpionida
peacock	inachis
vicuna	vicugna
pineapple	ananas
rook	corvus
insect	swarm
impala	aepyceros
krill	euphausiacea
mistletoe	viscum
mosquito	culicidae
leopard	doronicum
burmese	myanmar
andromeda	pieris
centipede	chilopoda
dobson	corydalus
wolverine	gulo
whitefish	coregonidae
partridge	perdicidae
sepia	sepiidae
aristocrat	nobility
feline	felidae
warship	fleet
tanzanian	tanzania
nighthawk	chordeiles
princess	royalty
ebony	diospyros
bunt	tilletia
malaysian	malaysia
highness	royalty
pakistani	pakistan
flanker	detachment
vega	lyra
nestor	psittacidae
white	menticirrhus
wheat	triticum
periwinkle	littorina
piranha	serrasalmus
