studying	studied
paralleling	paralleled
reviewing	reviewed
liking	liked
bumping	bumped
being	were
diverting	diverted
implying	implied
belonging	belonged
jettisoning	jettisoned
weighing	weighed
branching	branched
rowing	rowed
blooming	bloomed
according	accorded
preserving	preserved
hiding	hid
shattering	shattered
withholding	withheld
labelling	labelled
slicing	sliced
prospering	prospered
scarring	scarred
whittling	whittled
censoring	censored
trouncing	trounced
draining	drained
penning	penned
sniping	sniped
perishing	perished
reconciling	reconciled
dedicating	dedicated
ensuring	ensured
punching	punched
quitting	quit
packaging	packaged
tuning	tuned
plugging	plugged
activating	activated
originating	originated
elbowing	elbowed
squaring	squared
issuing	issued
boiling	boiled
toying	toyed
unfurling	unfurled
ascertaining	ascertained
skiing	skied
winning	won
raging	raged
disparaging	disparaged
reigning	reigned
quizzing	quizzed
attending	attended
disfiguring	disfigured
transcribing	transcribed
distracting	distracted
hitting	hit
pricing	priced
flattering	flattered
undergoing	underwent
obscuring	obscured
consulting	consulted
recording	recorded
regaining	regained
puzzling	puzzled
removing	removed
endearing	endeared
hamming	hamed
retailing	retailed
spraying	sprayed
updating	updated
remarking	remarked
capturing	captured
assuring	assured
commuting	commuted
recycling	recycled
delighting	delighted
including	included
assessing	assessed
faltering	faltered
allying	allied
downloading	downloaded
abiding	abided
kneeling	knelt
deferring	deferred
sealing	sealed
entrusting	entrusted
counseling	counseled
upping	upped
distancing	distanced
enveloping	enveloped
peering	peered
killing	killed
canning	canned
ruining	ruined
confining	confined
rigging	rigged
empowering	empowered
upholding	upheld
blaring	blared
retaliating	retaliated
modernizing	modernized
denouncing	denounced
plastering	plastered
pasting	pasted
thanking	thanked
etching	etched
divorcing	divorced
automating	automated
healing	healed
transforming	transformed
spurring	spurred
reasserting	reasserted
resembling	resembled
closing	closed
sentencing	sentenced
orbiting	orbited
exhausting	exhausted
seeking	sought
halting	halted
banishing	banished
operating	operated
disclosing	disclosed
purporting	purported
jogging	jogged
capping	caped
grappling	grappled
appropriating	appropriated
understanding	understood
sewing	sewed
thickening	thickened
partying	partied
altering	altered
fronting	fronted
leaping	leaped
handing	handed
grinning	grinned
appeasing	appeased
knowing	knew
evoking	evoked
annoying	annoyed
hurrying	hurried
arching	arched
looting	looted
pondering	pondered
energizing	energized
picking	picked
foundering	foundered
embezzling	embezzled
vaulting	vaulted
delving	delved
gunning	gunned
smacking	smacked
startling	startled
lying	lied
tempering	tempered
living	lived
contemplating	contemplated
costing	costed
evicting	evicted
darkening	darkened
intercepting	intercepted
depositing	deposited
aggravating	aggravated
liquidating	liquidated
educating	educated
thundering	thundered
fishing	fished
campaigning	campaigned
erupting	erupted
redirecting	redirected
stoking	stoked
aspiring	aspired
remaining	remained
murdering	murdered
bathing	bathed
coming	came
consoling	consoled
crumbling	crumbled
growing	grew
representing	represented
assassinating	assassinated
crouching	crouched
confiscating	confiscated
diversifying	diversified
mauling	mauled
sweeping	swept
bracing	braced
laboring	labored
influencing	influenced
resurrecting	resurrected
rapping	rapped
vanishing	vanished
dwelling	dwelled
declaring	declared
segregating	segregated
treading	trod
cooking	cooked
snapping	snapped
sacking	sacked
creating	created
bringing	brought
positing	posited
implicating	implicated
mimicking	mimicked
spending	spent
luring	lured
lasting	lasted
irritating	irritated
touting	touted
deflating	deflated
dissenting	dissented
saving	saved
asking	asked
fighting	fought
unleashing	unleashed
reprinting	reprinted
watching	watched
reorganizing	reorganized
downgrading	downgraded
captivating	captivated
recharging	recharged
contaminating	contaminated
spitting	spat
overlying	overlay
stabbing	stabbed
confounding	confounded
flogging	flogged
dabbling	dabbled
disgusting	disgusted
soliciting	solicited
forwarding	forwarded
moderating	moderated
posing	posed
annihilating	annihilated
budging	budged
disputing	disputed
judging	judged
mirroring	mirrored
seasoning	seasoned
signifying	signified
highlighting	highlighted
jacking	jacked
curling	curled
ramping	ramped
warming	warmed
shunning	shunned
restoring	restored
espousing	espoused
embarking	embarked
granting	granted
preparing	prepared
overloading	overloaded
extorting	extorted
putting	put
coinciding	coincided
relieving	relieved
deforming	deformed
fretting	fretted
guarding	guarded
alleging	alleged
stringing	stringed
superseding	superseded
dispensing	dispensed
aging	aged
bedding	bedded
authorizing	authorized
quickening	quickened
networking	networked
discharging	discharged
approaching	approached
positioning	positioned
prolonging	prolonged
refusing	refused
scorching	scorched
obliging	obliged
adopting	adopted
meddling	meddled
unveiling	unveiled
starring	stared
jailing	jailed
deporting	deported
locating	located
pooling	pooled
meeting	met
blanking	blanked
bristling	bristled
calculating	calculated
breeding	bred
reckoning	reckoned
compromising	compromised
allocating	allocated
polarizing	polarized
fraying	frayed
pressuring	pressured
enlarging	enlarged
wrapping	wrapped
categorizing	categorized
spooking	spooked
decoding	decoded
quelling	quelled
torturing	tortured
lamenting	lamented
distinguishing	distinguished
critiquing	critiqued
relinquishing	relinquished
dealing	dealt
contrasting	contrasted
faxing	faxed
redeploying	redeployed
seizing	seized
streaming	streamed
shredding	shred
slinging	slung
weaning	weaned
tampering	tampered
puffing	puffed
detecting	detected
spawning	spawned
enforcing	enforced
crying	cried
insulating	insulated
hardening	hardened
receiving	received
tallying	tallied
disseminating	disseminated
embodying	embodied
taping	taped
detonating	detonated
intervening	intervened
dwelling	dwelt
damming	dammed
reproducing	reproduced
directing	directed
grafting	grafted
concerning	concerned
planning	planned
trailing	trailed
blaming	blamed
shooting	shot
lingering	lingered
hailing	hailed
drafting	drafted
spotting	spotted
donating	donated
gearing	geared
spotlighting	spotlighted
accruing	accrued
squabbling	squabbled
disappointing	disappointed
pumping	pumped
helping	helped
hollowing	hollowed
invigorating	invigorated
occurring	occurred
phrasing	phrased
blowing	blew
remodeling	remodeled
inaugurating	inaugurated
skewing	skewed
switching	switched
outweighing	outweighed
tripping	tripped
disguising	disguised
proposing	proposed
drying	dried
staring	stared
lapsing	lapsed
overtaking	overtook
worsening	worsened
slashing	slashed
spying	spied
baffling	baffled
holding	held
foiling	foiled
disrupting	disrupted
submerging	submerged
misusing	misused
adjusting	adjusted
deleting	deleted
heaving	heaved
counselling	counseled
ridiculing	ridiculed
prioritizing	prioritized
leveling	leveled
auctioning	auctioned
scattering	scattered
skidding	skidded
keying	keyed
applauding	applauded
previewing	previewed
winding	winded
enduring	endured
culling	culled
cushioning	cushioned
inflaming	inflamed
patronizing	patronized
cultivating	cultivated
enraging	enraged
erasing	erased
felling	felled
amending	amended
apologizing	apologized
bobbing	bobbed
rewarding	rewarded
amassing	amassed
bubbling	bubbled
overshadowing	overshadowed
excelling	excelled
describing	described
siphoning	siphoned
stumping	stumped
injecting	injected
choreographing	choreographed
faking	faked
marking	marked
smothering	smothered
complaining	complained
auditioning	auditioned
mulling	mulled
pairing	paired
fathering	fathered
editing	edited
bragging	bragged
sanding	sanded
tripling	tripled
signalling	signaled
patenting	patented
lagging	lagged
churning	churned
clocking	clocked
falsifying	falsified
rushing	rushed
undermining	undermined
firming	firmed
tipping	tipped
deviating	deviated
finding	found
trashing	trashed
listening	listened
fumbling	fumbled
perfecting	perfected
peddling	peddled
surfacing	surfaced
engineering	engineered
following	followed
plotting	plotted
rapping	raped
saluting	saluted
bagging	bagged
bankrolling	bankrolled
floundering	floundered
ferrying	ferried
grossing	grossed
stimulating	stimulated
looping	looped
dispersing	dispersed
chairing	chaired
vowing	vowed
turning	turned
animating	animated
rocking	rocked
harnessing	harnessed
meshing	meshed
breathing	breathed
dribbling	dribbled
jostling	jostled
hearing	heard
renovating	renovated
revisiting	revisited
sympathizing	sympathized
uttering	uttered
slotting	slotted
pursuing	pursued
increasing	increased
shuttling	shuttled
reuniting	reunited
urging	urged
examining	examined
protesting	protested
contesting	contested
planing	planed
figuring	figured
storming	stormed
singling	singled
feathering	feathered
barging	barged
mitigating	mitigated
stating	stated
shedding	shed
striking	struck
disciplining	disciplined
hoarding	hoarded
binding	bound
isolating	isolated
rehearsing	rehearsed
lambasting	lambasted
salvaging	salvaged
adhering	adhered
destabilizing	destabilized
enabling	enabled
plying	plied
replying	replied
debilitating	debilitated
picturing	pictured
curtailing	curtailed
tempting	tempted
milking	milked
standing	stood
forgiving	forgave
melding	melded
incubating	incubated
consisting	consisted
putting	putted
graduating	graduated
disproving	disproved
indexing	indexed
overheating	overheated
outperforming	outperformed
trafficking	trafficked
roughing	roughed
conducting	conducted
spiralling	spiraled
blazing	blazed
masking	masked
recruiting	recruited
throwing	threw
coating	coated
jeopardizing	jeopardized
listing	listed
charging	charged
chartering	chartered
barring	barred
brandishing	brandished
noting	noted
evacuating	evacuated
streaking	streaked
denigrating	denigrated
piloting	piloted
dimming	dimmed
singing	sang
coasting	coasted
discarding	discarded
ushering	ushered
ribbing	ribbed
sweating	sweat
netting	netted
minimizing	minimized
deserting	deserted
scooping	scooped
shepherding	shepherded
working	worked
disregarding	disregarded
disarming	disarmed
debunking	debunked
demoralizing	demoralized
brewing	brewed
rolling	rolled
overspending	overspent
waging	waged
resuming	resumed
uniting	united
betraying	betrayed
deteriorating	deteriorated
jeering	jeered
imposing	imposed
attaining	attained
surprising	surprised
lobbing	lobbed
governing	governed
using	used
sponsoring	sponsored
gravitating	gravitated
defrauding	defrauded
amounting	amounted
chipping	chipped
circling	circled
lynching	lynched
charming	charmed
legalizing	legalized
pretending	pretended
overriding	overrode
wagging	waged
redressing	redressed
integrating	integrated
bypassing	bypassed
inventing	invented
stinging	stung
painting	painted
spilling	spilt
faring	fared
flooding	flooded
freezing	froze
panning	panned
rinsing	rinsed
recouping	recouped
lining	lined
consuming	consumed
financing	financed
chilling	chilled
punishing	punished
dwindling	dwindled
mandating	mandated
seeing	saw
mishandling	mishandled
cruising	cruised
instilling	instilled
stifling	stifled
corresponding	corresponded
labeling	labeled
persuading	persuaded
condemning	condemned
layering	layered
besieging	besieged
proceeding	proceeded
shouting	shouted
cooling	cooled
uprooting	uprooted
invoking	invoked
thinning	thinned
repudiating	repudiated
scrapping	scraped
outstripping	outstripped
requesting	requested
siting	sat
reeling	reeled
pacing	paced
pelting	pelted
concealing	concealed
heating	heated
wondering	wondered
soaking	soaked
replicating	replicated
daring	durst
withering	withered
applying	applied
immersing	immersed
interesting	interested
defusing	defused
circulating	circulated
hindering	hindered
citing	cited
fascinating	fascinated
interrogating	interrogated
begging	begged
sifting	sifted
assuming	assumed
compelling	compelled
restating	restated
retooling	retooled
reminding	reminded
processing	processed
arguing	argued
sitting	sat
hitching	hitched
degenerating	degenerated
conflicting	conflicted
rescuing	rescued
loosing	loosed
voiding	voided
edging	edged
shelving	shelved
searching	searched
hurling	hurled
labelling	labeled
dogging	dogged
ironing	ironed
scheduling	scheduled
installing	installed
carpeting	carpeted
clashing	clashed
realigning	realigned
harming	harmed
lettering	lettered
furnishing	furnished
backtracking	backtracked
stitching	stitched
benefiting	benefited
thawing	thawed
auditing	audited
limiting	limited
trumpeting	trumpeted
disallowing	disallowed
compensating	compensated
hurting	hurt
bordering	bordered
reinstating	reinstated
lauding	lauded
inspiring	inspired
scenting	scented
doubling	doubled
scraping	scraped
weighting	weighted
minding	minded
singing	sung
outpacing	outpaced
making	made
freeing	freed
dividing	divided
overrunning	overran
defecting	defected
slowing	slowed
seducing	seduced
producing	produced
lessening	lessened
waving	waved
reporting	reported
clothing	clothed
sleeping	slept
counting	counted
exacerbating	exacerbated
electrifying	electrified
vying	vied
shadowing	shadowed
instigating	instigated
loading	loaded
refereeing	refereed
springing	sprung
rejoining	rejoined
creeping	crept
embracing	embraced
scouring	scoured
camping	camped
contending	contended
buckling	buckled
blanketing	blanketed
bashing	bashed
chanting	chanted
guessing	guessed
infringing	infringed
funding	funded
seceding	seceded
totaling	totaled
mourning	mourned
plummeting	plummeted
foretelling	foretold
repressing	repressed
ousting	ousted
laughing	laughed
bartering	bartered
rumbling	rumbled
glowing	glowed
weaving	wove
prevailing	prevailed
slimming	slimmed
revitalizing	revitalized
subverting	subverted
leaving	left
deriding	derided
suspecting	suspected
toasting	toasted
sourcing	sourced
controlling	controlled
staffing	staffed
opting	opted
exercising	exercised
befriending	befriended
stroking	stroked
gathering	gathered
bugging	bugged
massacring	massacred
likening	likened
going	went
telling	told
fainting	fainted
dominating	dominated
longing	longed
smoothing	smoothed
displacing	displaced
propping	propped
starting	started
fattening	fattened
stirring	stirred
cracking	cracked
hinting	hinted
cleaning	cleaned
photographing	photographed
sliding	slid
overlaying	overlaid
assembling	assembled
manifesting	manifested
scratching	scratched
debating	debated
giving	gave
starring	starred
refunding	refunded
modelling	modeled
fermenting	fermented
assigning	assigned
fortifying	fortified
lashing	lashed
insisting	insisted
ticking	ticked
quarreling	quarreled
popping	popped
showing	showed
overhearing	overheard
subduing	subdued
sacrificing	sacrificed
bewildering	bewildered
spewing	spewed
pegging	pegged
squeaking	squeaked
purging	purged
participating	participated
gripping	gripped
coining	coined
liberalizing	liberalized
redistributing	redistributed
beaming	beamed
retraining	retrained
overcoming	overcame
encountering	encountered
modeling	modeled
trampling	trampled
shelling	shelled
disliking	disliked
steaming	steamed
separating	separated
validating	validated
tracing	traced
paring	pared
urinating	urinated
inhibiting	inhibited
harmonizing	harmonized
defaulting	defaulted
muscling	muscled
complimenting	complimented
tailoring	tailored
upsetting	upset
descending	descended
logging	logged
wandering	wandered
sparring	spared
demanding	demanded
navigating	navigated
decimating	decimated
continuing	continued
refuting	refuted
striving	strove
pinning	pinned
petering	petered
thumping	thumped
damaging	damaged
sparking	sparked
bowling	bowled
fragmenting	fragmented
rationalizing	rationalized
fusing	fused
stoning	stoned
sailing	sailed
compounding	compounded
gushing	gushed
confirming	confirmed
mobilizing	mobilized
totalling	totalled
hedging	hedged
portraying	portrayed
straightening	straightened
omitting	omitted
unsettling	unsettled
firing	fired
rupturing	ruptured
lecturing	lectured
blinding	blinded
torching	torched
angling	angled
scrambling	scrambled
hoping	hoped
steadying	steadied
diagnosing	diagnosed
heckling	heckled
encoding	encoded
lighting	lit
holing	holed
declining	declined
advertising	advertised
kindling	kindled
cresting	crested
destroying	destroyed
improvising	improvised
awarding	awarded
mopping	mopped
mesmerizing	mesmerized
supplementing	supplemented
battering	battered
maturing	matured
overdosing	overdosed
televising	televised
toiling	toiled
wilting	wilted
boycotting	boycotted
worshipping	worshipped
cashing	cashed
paging	paged
pestering	pestered
lacking	lacked
farming	farmed
meting	meted
lobbying	lobbied
ringing	ringed
skimming	skimmed
permitting	permitted
greeting	greeted
intriguing	intrigued
protecting	protected
substituting	substituted
manipulating	manipulated
drilling	drilled
biding	bode
mismanaging	mismanaged
flirting	flirted
immigrating	immigrated
predicting	predicted
typing	typed
partnering	partnered
dispelling	dispelled
angering	angered
ensuing	ensued
hiking	hiked
ending	ended
tormenting	tormented
dating	dated
stalking	stalked
prompting	prompted
bickering	bickered
divulging	divulged
accompanying	accompanied
reverting	reverted
courting	courted
skinning	skinned
reaching	reached
fanning	fanned
escalating	escalated
agitating	agitated
dipping	dipped
heeding	heeded
enclosing	enclosed
deserving	deserved
speeding	sped
stretching	stretched
announcing	announced
performing	performed
plundering	plundered
appealing	appealed
avoiding	avoided
seating	seated
renouncing	renounced
bombing	bombed
voicing	voiced
channeling	channeled
dodging	dodged
gleaning	gleaned
splicing	spliced
boarding	boarded
emulating	emulated
mustering	mustered
toning	toned
facilitating	facilitated
sobbing	sobbed
alluding	alluded
hounding	hounded
starving	starved
duplicating	duplicated
realizing	realized
magnifying	magnified
speeding	speeded
attacking	attacked
zigzagging	zigzagged
comprising	comprised
succumbing	succumbed
generating	generated
ceasing	ceased
earmarking	earmarked
encircling	encircled
striving	strived
breaking	broke
revamping	revamped
joking	joked
absorbing	absorbed
bestowing	bestowed
pronouncing	pronounced
insulting	insulted
revolving	revolved
motivating	motivated
grouping	grouped
viewing	viewed
lengthening	lengthened
ravaging	ravaged
gagging	gagged
discrediting	discredited
designing	designed
arranging	arranged
neglecting	neglected
buffeting	buffeted
traveling	traveled
gazing	gazed
dredging	dredged
firebombing	firebombed
halving	halved
clamping	clamped
harvesting	harvested
sputtering	sputtered
suspending	suspended
unloading	unloaded
flanking	flanked
heightening	heightened
shipping	shipped
trucking	trucked
waiving	waived
compressing	compressed
fracturing	fractured
calming	calmed
instituting	instituted
exporting	exported
reaffirming	reaffirmed
driving	drove
padding	padded
mingling	mingled
haunting	haunted
defending	defended
bolstering	bolstered
misappropriating	misappropriated
suffering	suffered
adapting	adapted
terminating	terminated
beheading	beheaded
notifying	notified
bowing	bowed
drifting	drifted
clipping	clipped
patrolling	patrolled
challenging	challenged
spurning	spurned
bombarding	bombarded
antagonizing	antagonized
mocking	mocked
cycling	cycled
galvanizing	galvanized
dunking	dunked
existing	existed
eroding	eroded
paying	paid
accounting	accounted
riding	rode
gauging	gauged
sniffing	sniffed
overcharging	overcharged
elevating	elevated
pitching	pitched
lopping	lopped
referencing	referenced
robbing	robed
questioning	questioned
observing	observed
underlining	underlined
exploiting	exploited
brokering	brokered
backing	backed
blistering	blistered
overestimating	overestimated
cleansing	cleansed
papering	papered
volunteering	volunteered
rejecting	rejected
filming	filmed
covering	covered
stereotyping	stereotyped
spelling	spelled
underscoring	underscored
herding	herded
receding	receded
craving	craved
massing	massed
poking	poked
clapping	clapped
accusing	accused
scolding	scolded
dismissing	dismissed
speculating	speculated
choking	choked
cropping	cropped
perforating	perforated
canvassing	canvassed
storing	stored
casting	cast
blockading	blockaded
aiming	aimed
ebbing	ebbed
perpetuating	perpetuated
ducking	ducked
mugging	mugged
trading	traded
offending	offended
sinking	sunk
knitting	knit
wielding	wielded
twisting	twisted
experiencing	experienced
boring	bored
centralizing	centralized
crowding	crowded
tearing	tore
designating	designated
teaming	teamed
styling	styled
franchising	franchised
criminalizing	criminalized
slipping	slipped
noticing	noticed
battling	battled
staging	staged
strafing	strafed
explaining	explained
completing	completed
conceding	conceded
constituting	constituted
diverging	diverged
comforting	comforted
succeeding	succeeded
swirling	swirled
dotting	dotted
winding	wound
disbursing	disbursed
injuring	injured
unlocking	unlocked
tweaking	tweaked
airing	aired
lightening	lightened
projecting	projected
shading	shaded
decommissioning	decommissioned
qualifying	qualified
colliding	collided
conferring	conferred
releasing	released
fearing	feared
screaming	screamed
blessing	blessed
leveraging	leveraged
igniting	ignited
photocopying	photocopied
beginning	began
jumping	jumped
approximating	approximated
cataloguing	catalogued
criticizing	criticized
sculpting	sculpted
bargaining	bargained
costing	cost
snubbing	snubbed
reflecting	reflected
lacing	laced
tackling	tackled
pillaging	pillaged
customizing	customized
parting	parted
trying	tried
salting	salted
precipitating	precipitated
disposing	disposed
consigning	consigned
engraving	engraved
recalling	recalled
partaking	partook
cramming	crammed
resolving	resolved
scurrying	scurried
refreshing	refreshed
privatizing	privatized
anointing	anointed
distributing	distributed
fastening	fastened
inducing	induced
programming	programmed
litigating	litigated
wringing	wrung
verifying	verified
sucking	sucked
perceiving	perceived
limping	limped
taunting	taunted
repeating	repeated
cheering	cheered
admitting	admitted
endorsing	endorsed
entering	entered
asserting	asserted
narrating	narrated
stagnating	stagnated
feeding	fed
mooring	moored
captaining	captained
widening	widened
solidifying	solidified
abandoning	abandoned
transmitting	transmitted
quadrupling	quadrupled
outing	outed
disobeying	disobeyed
ransacking	ransacked
dosing	dosed
aborting	aborted
dwarfing	dwarfed
damning	damned
sterilizing	sterilized
distilling	distilled
synthesizing	synthesized
crediting	credited
shielding	shielded
evaluating	evaluated
intruding	intruded
proving	proved
ministering	ministered
revolting	revolted
eliminating	eliminated
eking	eked
indulging	indulged
curbing	curbed
mating	mated
handicapping	handicapped
reunifying	reunified
incapacitating	incapacitated
stiffening	stiffened
tailing	tailed
weeping	wept
overpaying	overpaid
bootlegging	bootlegged
hampering	hampered
phoning	phoned
lifting	lifted
praying	prayed
abstaining	abstained
interning	interned
tarnishing	tarnished
gratifying	gratified
cutting	cut
enrolling	enrolled
thrilling	thrilled
detaining	detained
underpinning	underpinned
securing	secured
abetting	abetted
blackmailing	blackmailed
contributing	contributed
abiding	abode
commercializing	commercialized
mapping	mapped
impeding	impeded
repairing	repaired
dangling	dangled
prejudicing	prejudiced
sowing	sowed
stocking	stocked
expending	expended
nodding	nodded
analyzing	analyzed
talking	talked
rivaling	rivaled
publicizing	publicized
warning	warned
slapping	slapped
deceiving	deceived
batting	bated
rating	rated
chatting	chatted
arresting	arrested
chewing	chewed
reneging	reneged
stripping	stripped
maximizing	maximized
cranking	cranked
paddling	paddled
supposing	supposed
touring	toured
drawing	drew
glazing	glazed
maneuvering	maneuvered
disapproving	disapproved
vexing	vexed
letting	let
fixing	fixed
broadcasting	broadcast
grounding	grounded
running	ran
enriching	enriched
alerting	alerted
stockpiling	stockpiled
devaluing	devalued
climbing	climbed
wagering	wagered
surviving	survived
associating	associated
subtracting	subtracted
inheriting	inherited
diluting	diluted
adding	added
quantifying	quantified
deriving	derived
tying	tied
enjoying	enjoyed
towering	towered
sending	sent
exacting	exacted
spelling	spelt
calling	called
conning	conned
exciting	excited
suppressing	suppressed
rounding	rounded
kidnapping	kidnapped
merging	merged
escaping	escaped
draping	draped
consenting	consented
sustaining	sustained
raping	raped
doubting	doubted
brooding	brooded
priming	primed
recapturing	recaptured
redeveloping	redeveloped
railroading	railroaded
digging	dug
annexing	annexed
weaving	weaved
theorizing	theorized
saying	said
fouling	fouled
jamming	jammed
oppressing	oppressed
neutralizing	neutralized
leaking	leaked
displaying	displayed
scaling	scaled
flopping	flopped
looking	looked
jarring	jared
scouting	scouted
emphasizing	emphasized
phasing	phased
wanting	wanted
coercing	coerced
looming	loomed
curing	cured
translating	translated
freaking	freaked
seeping	seeped
defining	defined
concluding	concluded
emanating	emanated
flushing	flushed
heading	headed
rhyming	rhymed
racing	raced
outlawing	outlawed
inflating	inflated
caving	caved
matching	matched
soaring	soared
righting	righted
shearing	sheared
bemoaning	bemoaned
nearing	neared
browsing	browsed
lighting	lighted
mistreating	mistreated
collaborating	collaborated
relocating	relocated
patterning	patterned
deploying	deployed
donning	donned
horrifying	horrified
recreating	recreated
extraditing	extradited
evaporating	evaporated
equating	equated
flexing	flexed
doing	did
establishing	established
abdicating	abdicated
robbing	robbed
subsidizing	subsidized
formulating	formulated
crippling	crippled
sawing	sawed
sharing	shared
demolishing	demolished
falling	fell
combating	combated
unearthing	unearthed
normalizing	normalized
revising	revised
stopping	stopped
sorting	sorted
affirming	affirmed
vetoing	vetoed
enlisting	enlisted
rearranging	rearranged
sensing	sensed
authenticating	authenticated
watering	watered
evolving	evolved
transporting	transported
milling	milled
abducting	abducted
attaching	attached
stumbling	stumbled
easing	eased
charting	charted
equalling	equalled
tracking	tracked
memorizing	memorized
queuing	queued
exposing	exposed
grasping	grasped
imprinting	imprinted
cheating	cheated
accentuating	accentuated
licking	licked
upgrading	upgraded
collapsing	collapsed
straddling	straddled
readying	readied
striding	strode
gaining	gained
exploring	explored
crushing	crushed
shrugging	shrugged
tricking	tricked
icing	iced
commencing	commenced
plucking	plucked
basking	basked
taking	took
usurping	usurped
assimilating	assimilated
professing	professed
swallowing	swallowed
clouding	clouded
regulating	regulated
reconstructing	reconstructed
spacing	spaced
overhauling	overhauled
ascending	ascended
obstructing	obstructed
rejuvenating	rejuvenated
hobbling	hobbled
tending	tended
nudging	nudged
drenching	drenched
decrying	decried
satirizing	satirized
comparing	compared
having	had
emigrating	emigrated
dreaming	dreamt
alleviating	alleviated
hesitating	hesitated
expressing	expressed
cascading	cascaded
pinching	pinched
sandbagging	sandbagged
sagging	sagged
reasoning	reasoned
melting	melted
videotaping	videotaped
devising	devised
responding	responded
submitting	submitted
rousing	roused
squandering	squandered
fomenting	fomented
tasking	tasked
speaking	spoke
singing	singed
underlying	underlay
eliciting	elicited
relaxing	relaxed
fencing	fenced
expecting	expected
reacting	reacted
bolting	bolted
slugging	slugged
quoting	quoted
simmering	simmered
shocking	shocked
enslaving	enslaved
wrenching	wrenched
prosecuting	prosecuted
musing	mused
improving	improved
stemming	stemmed
butting	butted
walking	walked
forging	forged
surrounding	surrounded
tabulating	tabulated
engaging	engaged
mailing	mailed
exploding	exploded
heartening	heartened
reducing	reduced
staining	stained
varying	varied
arriving	arrived
inferring	inferred
flowing	flowed
foreshadowing	foreshadowed
extrapolating	extrapolated
appreciating	appreciated
exchanging	exchanged
engulfing	engulfed
spinning	spun
fuming	fumed
bruising	bruised
resettling	resettled
hatching	hatched
ripening	ripened
timing	timed
