bask	basking
handicap	handicapping
blink	blinking
buzz	buzzing
commission	commissioning
explode	exploding
tread	treading
frighten	frightening
vow	vowing
combat	combating
struggle	struggling
flip	flipping
elude	eluding
exempt	exempting
overlay	overlaying
nap	napping
well	welling
tool	tooling
precipitate	precipitating
maximize	maximizing
sleep	sleeping
damn	damning
chat	chatting
grasp	grasping
drone	droning
appeal	appealing
allocate	allocating
ripen	ripening
store	storing
cascade	cascading
hole	holing
allude	alluding
infer	inferring
worship	worshiping
hone	honing
mushroom	mushrooming
strum	strumming
retire	retiring
rename	renaming
rejoice	rejoicing
prejudice	prejudicing
fish	fishing
mend	mending
mature	maturing
water	watering
resettle	resettling
rework	reworking
slash	slashing
shower	showering
weaken	weakening
specialize	specializing
bow	bowing
jostle	jostling
diagnose	diagnosing
relay	relaying
force	forcing
edit	editing
tighten	tightening
charge	charging
license	licensing
debate	debating
aspire	aspiring
load	loading
polish	polishing
scrap	scrapping
pattern	patterning
save	saving
suffocate	suffocating
pardon	pardoning
plot	plotting
liberate	liberating
languish	languishing
flake	flaking
gossip	gossiping
hustle	hustling
abdicate	abdicating
realign	realigning
suggest	suggesting
separate	separating
hollow	hollowing
warrant	warranting
dispel	dispelling
chronicle	chronicling
clinch	clinching
eradicate	eradicating
dismiss	dismissing
bank	banking
floor	flooring
pad	padding
propose	proposing
distribute	distributing
owe	owing
extinguish	extinguishing
hurt	hurting
comfort	comforting
intimidate	intimidating
uproot	uprooting
further	furthering
direct	directing
regard	regarding
probe	probing
reflect	reflecting
obstruct	obstructing
puzzle	puzzling
shred	shredding
wind	winding
irritate	irritating
rampage	rampaging
police	policing
inhibit	inhibiting
pirate	pirating
border	bordering
dwindle	dwindling
perish	perishing
rub	rubbing
chop	chopping
shade	shading
recur	recurring
drown	drowning
marshal	marshalling
swear	swearing
reply	replying
request	requesting
enforce	enforcing
better	bettering
jar	jarring
spray	spraying
cook	cooking
suit	suiting
stack	stacking
waver	wavering
unseat	unseating
straddle	straddling
curve	curving
ascertain	ascertaining
withstand	withstanding
smelt	smelting
observe	observing
confiscate	confiscating
censor	censoring
rap	rapping
counterfeit	counterfeiting
postpone	postponing
skin	skinning
pile	piling
gravitate	gravitating
erupt	erupting
reveal	revealing
amount	amounting
jockey	jockeying
heed	heeding
limp	limping
want	wanting
change	changing
frost	frosting
overrun	overrunning
waltz	waltzing
stone	stoning
peep	peeping
diet	dieting
churn	churning
skid	skidding
shed	shedding
prospect	prospecting
mount	mounting
babysit	babysitting
factor	factoring
cease	ceasing
school	schooling
incapacitate	incapacitating
abet	abetting
paraphrase	paraphrasing
circumvent	circumventing
overload	overloading
deduct	deducting
choke	choking
decelerate	decelerating
accentuate	accentuating
club	clubbing
avenge	avenging
incubate	incubating
hatch	hatching
devour	devouring
race	racing
tunnel	tunneling
slander	slandering
qualify	qualifying
apologize	apologizing
deteriorate	deteriorating
total	totalling
heighten	heightening
front	fronting
lead	leading
converse	conversing
downgrade	downgrading
access	accessing
descend	descending
snow	snowing
discern	discerning
manipulate	manipulating
play	playing
silence	silencing
dissipate	dissipating
despair	despairing
mail	mailing
chalk	chalking
refresh	refreshing
authorize	authorizing
bestow	bestowing
thunder	thundering
deserve	deserving
manufacture	manufacturing
muddle	muddling
safeguard	safeguarding
reopen	reopening
gauge	gauging
recount	recounting
rough	roughing
violate	violating
unite	uniting
drug	drugging
minister	ministering
posit	positing
respect	respecting
rattle	rattling
lack	lacking
amuse	amusing
feel	feeling
spotlight	spotlighting
lure	luring
disconnect	disconnecting
reissue	reissuing
toll	tolling
lament	lamenting
flounder	floundering
face	facing
champion	championing
redeem	redeeming
differentiate	differentiating
overrule	overruling
place	placing
dedicate	dedicating
initiate	initiating
slam	slamming
gush	gushing
obey	obeying
retail	retailing
annoy	annoying
evolve	evolving
grab	grabbing
hesitate	hesitating
lop	lopping
reference	referencing
label	labelling
jump	jumping
wage	waging
award	awarding
father	fathering
draw	drawing
complicate	complicating
foreshadow	foreshadowing
summarize	summarizing
drop	dropping
condemn	condemning
retreat	retreating
treat	treating
carve	carving
lash	lashing
shock	shocking
furnish	furnishing
kidnap	kidnapping
redress	redressing
lengthen	lengthening
met	meting
reserve	reserving
induce	inducing
sponsor	sponsoring
recognize	recognizing
distrust	distrusting
nibble	nibbling
balloon	ballooning
coast	coasting
wear	wearing
project	projecting
plunge	plunging
electrify	electrifying
abort	aborting
stow	stowing
bully	bullying
grade	grading
short	shorting
molest	molesting
sit	siting
leak	leaking
automate	automating
account	accounting
consult	consulting
avert	averting
coalesce	coalescing
persuade	persuading
scrutinize	scrutinizing
succumb	succumbing
bungle	bungling
ruin	ruining
unnerve	unnerving
disobey	disobeying
stumble	stumbling
signal	signalling
align	aligning
plan	planning
presume	presuming
sprout	sprouting
stain	staining
standardize	standardizing
produce	producing
increase	increasing
game	gaming
crop	cropping
cry	crying
whip	whipping
pick	picking
simmer	simmering
hibernate	hibernating
erect	erecting
railroad	railroading
swirl	swirling
immerse	immersing
detonate	detonating
pocket	pocketing
thrive	thriving
ration	rationing
hinder	hindering
end	ending
deny	denying
divert	diverting
gag	gagging
mold	molding
wake	waking
rain	raining
beam	beaming
log	logging
dot	dotting
black	blacking
dabble	dabbling
engulf	engulfing
roast	roasting
heal	healing
camp	camping
clone	cloning
close	closing
fall	falling
rifle	rifling
resolve	resolving
yield	yielding
menace	menacing
tattoo	tattooing
buckle	buckling
toot	tooting
constrict	constricting
soften	softening
slap	slapping
screen	screening
touch	touching
grate	grating
counsel	counseling
prey	preying
unload	unloading
cruise	cruising
loathe	loathing
erase	erasing
assume	assuming
tamper	tampering
measure	measuring
escape	escaping
mark	marking
lapse	lapsing
satirize	satirizing
hare	haring
abstain	abstaining
mitigate	mitigating
desert	deserting
realize	realizing
launch	launching
stamp	stamping
tinker	tinkering
ripple	rippling
summon	summoning
hide	hiding
rage	raging
protest	protesting
resemble	resembling
curse	cursing
list	listing
clump	clumping
romance	romancing
benchmark	benchmarking
snap	snapping
trouble	troubling
convert	converting
trample	trampling
offset	offsetting
determine	determining
storm	storming
destabilize	destabilizing
injure	injuring
relate	relating
circle	circling
restate	restating
retaliate	retaliating
reassure	reassuring
amass	amassing
block	blocking
compose	composing
transcribe	transcribing
consume	consuming
wave	waving
retrench	retrenching
redouble	redoubling
air	airing
retrace	retracing
nag	nagging
growl	growling
contain	containing
braid	braiding
steer	steering
host	hosting
pen	penning
saw	sawing
exist	existing
point	pointing
fuel	fueling
pry	prying
aid	aiding
distill	distilling
lay	laying
entice	enticing
relapse	relapsing
decide	deciding
herald	heralding
discount	discounting
program	programming
flatten	flattening
pressure	pressuring
emphasize	emphasizing
preach	preaching
frustrate	frustrating
underestimate	underestimating
rebound	rebounding
ram	ramming
accomplish	accomplishing
brace	bracing
retract	retracting
demolish	demolishing
meld	melding
shelter	sheltering
unsettle	unsettling
sketch	sketching
seat	seating
ridicule	ridiculing
appreciate	appreciating
figure	figuring
put	putting
push	pushing
sip	sipping
alienate	alienating
commence	commencing
recreate	recreating
mass	massing
underlie	underlying
partake	partaking
bust	busting
begin	beginning
grunt	grunting
please	pleasing
issue	issuing
balance	balancing
deal	dealing
avoid	avoiding
migrate	migrating
prescribe	prescribing
trigger	triggering
reunify	reunifying
tank	tanking
deviate	deviating
disrupt	disrupting
knit	knitting
represent	representing
murder	murdering
stall	stalling
right	righting
instruct	instructing
identify	identifying
jerk	jerking
pin	pining
defy	defying
tack	tacking
hawk	hawking
authenticate	authenticating
fool	fooling
nail	nailing
decrease	decreasing
mobilize	mobilizing
center	centering
post	posting
thump	thumping
file	filing
ignore	ignoring
soothe	soothing
canvass	canvassing
ally	allying
misrepresent	misrepresenting
wire	wiring
diversify	diversifying
locate	locating
supplement	supplementing
overstate	overstating
reappear	reappearing
service	servicing
preclude	precluding
enjoy	enjoying
brake	braking
tap	tapping
redeploy	redeploying
socialize	socializing
reminisce	reminiscing
alarm	alarming
profess	professing
whistle	whistling
glide	gliding
annihilate	annihilating
chirp	chirping
expect	expecting
smuggle	smuggling
relieve	relieving
preview	previewing
slope	sloping
perpetrate	perpetrating
shoulder	shouldering
thin	thinning
chain	chaining
attack	attacking
draft	drafting
resign	resigning
prop	propping
sap	sapping
pilot	piloting
invent	inventing
melt	melting
earmark	earmarking
captivate	captivating
divorce	divorcing
normalize	normalizing
map	mapping
accuse	accusing
skate	skating
impress	impressing
infuriate	infuriating
taunt	taunting
cool	cooling
trip	tripping
import	importing
rise	rising
grant	granting
depart	departing
brawl	brawling
vanish	vanishing
love	loving
forgive	forgiving
bide	biding
sight	sighting
carpet	carpeting
cultivate	cultivating
tie	tying
disburse	disbursing
slip	slipping
vie	vying
effect	effecting
bake	baking
depict	depicting
narrow	narrowing
divulge	divulging
advocate	advocating
reconcile	reconciling
invade	invading
prowl	prowling
magnify	magnifying
mate	mating
dart	darting
embarrass	embarrassing
whirl	whirling
flower	flowering
impinge	impinging
transform	transforming
overcharge	overcharging
mandate	mandating
site	siting
surprise	surprising
forbid	forbidding
reconstruct	reconstructing
exhibit	exhibiting
card	carding
feign	feigning
concur	concurring
stand	standing
usher	ushering
pump	pumping
reinforce	reinforcing
cash	cashing
converge	converging
founder	foundering
devastate	devastating
give	giving
wag	waging
possess	possessing
cast	casting
bear	bearing
sandbag	sandbagging
submit	submitting
soak	soaking
throttle	throttling
fire	firing
pounce	pouncing
comprise	comprising
elevate	elevating
indulge	indulging
cane	caning
attract	attracting
heave	heaving
pester	pestering
command	commanding
clothe	clothing
mimic	mimicking
retell	retelling
complain	complaining
die	dying
hiss	hissing
manifest	manifesting
stray	straying
weld	welding
repeat	repeating
dive	diving
redevelop	redeveloping
float	floating
fast	fasting
hammer	hammering
signal	signaling
lighten	lightening
jail	jailing
don	donning
board	boarding
vacate	vacating
promulgate	promulgating
amaze	amazing
speak	speaking
gear	gearing
stump	stumping
prosper	prospering
envision	envisioning
abduct	abducting
spot	spotting
shoot	shooting
own	owning
explore	exploring
imply	implying
disappear	disappearing
captain	captaining
congregate	congregating
scratch	scratching
codify	codifying
mourn	mourning
scrap	scraping
mill	milling
tot	toting
rehearse	rehearsing
persecute	persecuting
wrap	wrapping
course	coursing
supply	supplying
daydream	daydreaming
quell	quelling
blast	blasting
raise	raising
breach	breaching
educate	educating
insist	insisting
quiz	quizzing
be	being
scale	scaling
reel	reeling
steam	steaming
dress	dressing
fit	fitting
assure	assuring
bulge	bulging
shore	shoring
hock	hocking
plummet	plummeting
bombard	bombarding
enclose	enclosing
pop	popping
stop	stopping
criticize	criticizing
down	downing
roar	roaring
joke	joking
gun	gunning
underpin	underpinning
mop	mopping
harmonize	harmonizing
snip	sniping
brighten	brightening
foot	footing
withhold	withholding
winter	wintering
follow	following
toast	toasting
yellow	yellowing
smooth	smoothing
troll	trolling
finance	financing
advise	advising
reign	reigning
cross	crossing
complete	completing
resell	reselling
succeed	succeeding
differ	differing
track	tracking
attach	attaching
offend	offending
abolish	abolishing
compromise	compromising
flout	flouting
rig	rigging
woo	wooing
lace	lacing
climb	climbing
boost	boosting
control	controlling
click	clicking
deplore	deploring
intermingle	intermingling
lounge	lounging
drink	drinking
overshadow	overshadowing
rate	rating
party	partying
dream	dreaming
rejoin	rejoining
do	doing
crackle	crackling
stock	stocking
fray	fraying
subscribe	subscribing
blend	blending
befriend	befriending
duplicate	duplicating
coin	coining
skew	skewing
go	going
fault	faulting
broker	brokering
knock	knocking
peddle	peddling
sneeze	sneezing
engage	engaging
off	offing
recycle	recycling
exact	exacting
faint	fainting
suffer	suffering
conform	conforming
harm	harming
threaten	threatening
revise	revising
guess	guessing
tune	tuning
beep	beeping
confine	confining
disapprove	disapproving
strike	striking
dribble	dribbling
elaborate	elaborating
specify	specifying
channel	channeling
scare	scaring
jeopardize	jeopardizing
revisit	revisiting
derail	derailing
branch	branching
smile	smiling
usurp	usurping
agitate	agitating
fade	fading
restore	restoring
exclude	excluding
bar	barring
alternate	alternating
enlarge	enlarging
cram	cramming
supplant	supplanting
starve	starving
flirt	flirting
swing	swinging
beef	beefing
upload	uploading
hug	hugging
handle	handling
rhyme	rhyming
proselytize	proselytizing
demand	demanding
bash	bashing
master	mastering
sell	selling
sparkle	sparkling
purge	purging
chew	chewing
kiss	kissing
stir	stirring
hold	holding
litter	littering
conceive	conceiving
omit	omitting
breathe	breathing
default	defaulting
decompose	decomposing
lie	lying
suppose	supposing
pass	passing
illustrate	illustrating
misread	misreading
rocket	rocketing
exert	exerting
lurk	lurking
poach	poaching
appropriate	appropriating
visit	visiting
supervise	supervising
fumble	fumbling
smack	smacking
implicate	implicating
feast	feasting
declare	declaring
size	sizing
dub	dubbing
seek	seeking
compound	compounding
correct	correcting
inherit	inheriting
cull	culling
bite	biting
console	consoling
haggle	haggling
punish	punishing
hover	hovering
designate	designating
smash	smashing
numb	numbing
outstrip	outstripping
process	processing
recoup	recouping
integrate	integrating
entertain	entertaining
traffic	trafficking
tick	ticking
shiver	shivering
pinpoint	pinpointing
color	coloring
garden	gardening
cut	cutting
disintegrate	disintegrating
announce	announcing
crank	cranking
construct	constructing
split	splitting
set	setting
dispense	dispensing
meet	meeting
overspend	overspending
peek	peeking
boo	booing
sweep	sweeping
coexist	coexisting
undermine	undermining
nourish	nourishing
compute	computing
lag	lagging
fear	fearing
appraise	appraising
rent	renting
overthrow	overthrowing
lynch	lynching
masquerade	masquerading
mob	mobbing
tailor	tailoring
hang	hanging
court	courting
remain	remaining
squeal	squealing
run	running
need	needing
stem	stemming
arch	arching
squat	squatting
fry	frying
stalk	stalking
contrast	contrasting
broadcast	broadcasting
budget	budgeting
crouch	crouching
hark	harking
let	letting
innovate	innovating
delete	deleting
count	counting
wait	waiting
shave	shaving
digest	digesting
head	heading
gaze	gazing
drift	drifting
dam	damming
parallel	paralleling
deport	deporting
snub	snubbing
price	pricing
paper	papering
stride	striding
corner	cornering
dilute	diluting
ask	asking
unveil	unveiling
transcend	transcending
string	stringing
call	calling
praise	praising
jam	jamming
repel	repelling
putt	putting
dare	daring
beg	begging
greet	greeting
back	backing
balk	balking
astonish	astonishing
network	networking
shear	shearing
destroy	destroying
synthesize	synthesizing
slant	slanting
penetrate	penetrating
whittle	whittling
prefer	preferring
term	terming
revolutionize	revolutionizing
kid	kidding
rescue	rescuing
misuse	misusing
shuffle	shuffling
disallow	disallowing
evade	evading
stereotype	stereotyping
maneuver	maneuvering
peg	pegging
douse	dousing
speculate	speculating
denounce	denouncing
endear	endearing
index	indexing
form	forming
abide	abiding
depose	deposing
convene	convening
room	rooming
fuse	fusing
assert	asserting
adhere	adhering
tip	tipping
fold	folding
steal	stealing
imprint	imprinting
hike	hiking
notice	noticing
return	returning
pedal	pedaling
uphold	upholding
rave	raving
harass	harassing
behead	beheading
strengthen	strengthening
scream	screaming
smoke	smoking
sling	slinging
escalate	escalating
congratulate	congratulating
favor	favoring
shape	shaping
subdue	subduing
parade	parading
emanate	emanating
terrorize	terrorizing
bound	bounding
decimate	decimating
flock	flocking
read	reading
soar	soaring
bustle	bustling
critique	critiquing
rope	roping
rev	revving
commercialize	commercializing
gore	goring
conclude	concluding
testify	testifying
shrink	shrinking
tingle	tingling
aim	aiming
pair	pairing
hijack	hijacking
glitter	glittering
ramp	ramping
poll	polling
wag	wagging
equate	equating
reprint	reprinting
dissolve	dissolving
loop	looping
falter	faltering
pause	pausing
discover	discovering
quash	quashing
talk	talking
suck	sucking
spit	spitting
line	lining
tweak	tweaking
contest	contesting
shatter	shattering
chart	charting
deliver	delivering
pot	potting
light	lighting
punt	punting
pelt	pelting
prioritize	prioritizing
capture	capturing
bail	bailing
hurry	hurrying
heap	heaping
gamble	gambling
ascend	ascending
forage	foraging
pretend	pretending
leaven	leavening
stick	sticking
tame	taming
accede	acceding
subsidize	subsidizing
swim	swimming
spiral	spiralling
shy	shying
energize	energizing
frank	franking
pet	petting
twine	twining
tell	telling
fertilize	fertilizing
sear	searing
wreak	wreaking
inflate	inflating
search	searching
contribute	contributing
swarm	swarming
decode	decoding
imprison	imprisoning
antagonize	antagonizing
grudge	grudging
roam	roaming
widen	widening
surround	surrounding
disband	disbanding
glance	glancing
fudge	fudging
divest	divesting
administer	administering
open	opening
ebb	ebbing
butt	butting
afflict	afflicting
live	living
torch	torching
moonlight	moonlighting
delegate	delegating
fracture	fracturing
mine	mining
underwrite	underwriting
mouth	mouthing
flash	flashing
revolve	revolving
research	researching
interrupt	interrupting
insulate	insulating
mainstream	mainstreaming
caution	cautioning
long	longing
print	printing
rumble	rumbling
shout	shouting
compel	compelling
overturn	overturning
capitalize	capitalizing
fence	fencing
endanger	endangering
recommend	recommending
whisper	whispering
trace	tracing
profit	profiting
concentrate	concentrating
receive	receiving
rant	ranting
photograph	photographing
dig	digging
trek	trekking
pine	pining
coerce	coercing
bootleg	bootlegging
broaden	broadening
rush	rushing
transmit	transmitting
cart	carting
dance	dancing
ward	warding
taper	tapering
win	winning
tremble	trembling
hem	hemming
ratchet	ratcheting
videotape	videotaping
hurl	hurling
discontinue	discontinuing
like	liking
picket	picketing
spill	spilling
bait	baiting
embark	embarking
tempt	tempting
improve	improving
referee	refereeing
unearth	unearthing
dwell	dwelling
design	designing
smear	smearing
invite	inviting
flail	flailing
resent	resenting
brew	brewing
privatize	privatizing
excavate	excavating
dot	doting
benefit	benefiting
outlaw	outlawing
originate	originating
conspire	conspiring
home	homing
outperform	outperforming
pin	pinning
lower	lowering
startle	startling
slop	sloping
attain	attaining
fuck	fucking
demonstrate	demonstrating
target	targeting
bark	barking
orbit	orbiting
contradict	contradicting
tolerate	tolerating
rid	riding
consign	consigning
imitate	imitating
taste	tasting
itch	itching
scan	scanning
accelerate	accelerating
shin	shining
massage	massaging
infringe	infringing
sprinkle	sprinkling
drum	drumming
limit	limiting
brave	braving
gust	gusting
mess	messing
graduate	graduating
bother	bothering
park	parking
contract	contracting
impound	impounding
croak	croaking
motor	motoring
reschedule	rescheduling
idle	idling
unify	unifying
bare	baring
disclose	disclosing
retrofit	retrofitting
wash	washing
bed	bedding
duel	dueling
heat	heating
discipline	disciplining
discourage	discouraging
thrash	thrashing
appear	appearing
activate	activating
lift	lifting
trash	trashing
encroach	encroaching
validate	validating
lurch	lurching
clap	clapping
chill	chilling
mug	mugging
sound	sounding
document	documenting
intern	interning
crusade	crusading
labor	laboring
blockade	blockading
ravage	ravaging
bumble	bumbling
berate	berating
landscape	landscaping
belong	belonging
intervene	intervening
crush	crushing
collide	colliding
consider	considering
zoom	zooming
brown	browning
disable	disabling
outweigh	outweighing
coax	coaxing
overpay	overpaying
tilt	tilting
defer	deferring
retain	retaining
etch	etching
retrain	retraining
impart	imparting
wreck	wrecking
turn	turning
restructure	restructuring
market	marketing
reduce	reducing
share	sharing
wax	waxing
muster	mustering
can	canning
concede	conceding
loan	loaning
suppress	suppressing
step	stepping
spark	sparking
combine	combining
fan	fanning
rekindle	rekindling
vote	voting
gesture	gesturing
decipher	deciphering
rely	relying
know	knowing
forsake	forsaking
hop	hoping
circulate	circulating
influence	influencing
institute	instituting
rewrite	rewriting
harden	hardening
lease	leasing
subvert	subverting
wade	wading
gouge	gouging
auction	auctioning
defuse	defusing
cramp	cramping
screech	screeching
blackmail	blackmailing
symbolize	symbolizing
intrude	intruding
dose	dosing
finish	finishing
blame	blaming
label	labeling
invalidate	invalidating
abound	abounding
smart	smarting
crave	craving
rang	ranging
franchise	franchising
imagine	imagining
fine	fining
crumble	crumbling
digitize	digitizing
replicate	replicating
tax	taxing
rectify	rectifying
bottle	bottling
meddle	meddling
trumpet	trumpeting
incorporate	incorporating
twinkle	twinkling
appease	appeasing
disprove	disproving
encourage	encouraging
swallow	swallowing
scout	scouting
slave	slaving
craft	crafting
machine	machining
profile	profiling
repress	repressing
tire	tiring
meditate	meditating
segregate	segregating
punch	punching
shimmer	shimmering
cripple	crippling
walk	walking
picnic	picnicking
hasten	hastening
square	squaring
reach	reaching
misunderstand	misunderstanding
enact	enacting
code	coding
officiate	officiating
assassinate	assassinating
scoop	scooping
enrich	enriching
yawn	yawning
prepare	preparing
tackle	tackling
confound	confounding
squeak	squeaking
assign	assigning
masturbate	masturbating
characterize	characterizing
pluck	plucking
charter	chartering
arouse	arousing
approach	approaching
comply	complying
sharpen	sharpening
state	stating
firm	firming
analyze	analyzing
clamp	clamping
slump	slumping
salute	saluting
calm	calming
slim	slimming
facilitate	facilitating
nurse	nursing
photocopy	photocopying
rally	rallying
solicit	soliciting
gleam	gleaming
wheel	wheeling
bunch	bunching
guard	guarding
stretch	stretching
ooze	oozing
pitch	pitching
purport	purporting
cheat	cheating
grip	gripping
wound	wounding
cheer	cheering
regret	regretting
derive	deriving
memorize	memorizing
watch	watching
refund	refunding
pit	pitting
correlate	correlating
dominate	dominating
popularize	popularizing
motivate	motivating
restart	restarting
render	rendering
indicate	indicating
proliferate	proliferating
refuse	refusing
blow	blowing
oppose	opposing
land	landing
date	dating
have	having
miss	missing
contact	contacting
ship	shipping
contend	contending
downplay	downplaying
sum	summing
degenerate	degenerating
bristle	bristling
surface	surfacing
help	helping
sustain	sustaining
neutralize	neutralizing
sour	souring
cock	cocking
tumble	tumbling
renovate	renovating
modernize	modernizing
inspire	inspiring
remodel	remodeling
foil	foiling
falsify	falsifying
emigrate	emigrating
address	addressing
position	positioning
extort	extorting
throb	throbbing
encircle	encircling
tidy	tidying
deter	deterring
crowd	crowding
spur	spurring
phase	phasing
strive	striving
brag	bragging
bless	blessing
relish	relishing
spin	spinning
out	outing
bicker	bickering
displace	displacing
try	trying
serve	serving
replenish	replenishing
voice	voicing
thwart	thwarting
shut	shutting
mirror	mirroring
register	registering
unravel	unraveling
value	valuing
rouse	rousing
spook	spooking
interlock	interlocking
attribute	attributing
stifle	stifling
flare	flaring
