patent	patents
litter	litters
roast	roasts
shovel	shovels
exploit	exploits
save	saves
ornament	ornaments
tattoo	tattoos
decline	declines
knock	knocks
retake	retakes
overtake	overtakes
steer	steers
curve	curves
concern	concerns
row	rows
sober	sobers
recede	recedes
deplore	deplores
archive	archives
buss	busses
cycle	cycles
perch	perches
rock	rocks
bid	bids
lobby	lobbies
drive	drives
pin	pines
stink	stinks
coach	coaches
charter	charters
comment	comments
presume	presumes
rake	rakes
dispense	dispenses
praise	praises
tour	tours
bar	bars
lament	laments
torture	tortures
sympathize	sympathizes
badger	badgers
pledge	pledges
resist	resists
note	notes
resurrect	resurrects
appear	appears
zero	zeros
dictate	dictates
roar	roars
furnish	furnishes
recap	recaps
nettle	nettles
mate	mates
institute	institutes
dislike	dislikes
freak	freaks
trust	trusts
designate	designates
tremble	trembles
interest	interests
emanate	emanates
release	releases
lunch	lunches
flex	flexes
strap	straps
boil	boils
trap	traps
attribute	attributes
ease	eases
restrict	restricts
flourish	flourishes
sun	suns
palm	palms
chaperone	chaperones
home	homes
spring	springs
stereotype	stereotypes
pervert	perverts
haul	hauls
earmark	earmarks
implant	implants
befriend	befriends
stuff	stuffs
collect	collects
marshal	marshals
reinforce	reinforces
censor	censors
bend	bends
fetch	fetches
train	trains
erase	erases
muzzle	muzzles
shower	showers
dream	dreams
fork	forks
sneak	sneaks
irritate	irritates
starch	starches
bribe	bribes
embarrass	embarrasses
oil	oils
press	presses
urge	urges
unify	unifies
presuppose	presupposes
plunge	plunges
accept	accepts
garland	garlands
watch	watches
boast	boasts
instruct	instructs
invent	invents
phase	phases
quote	quotes
bin	bins
roam	roams
garage	garages
poll	polls
skipper	skippers
disapprove	disapproves
nose	noses
riot	riots
fruit	fruits
turn	turns
restate	restates
sanction	sanctions
renounce	renounces
await	awaits
push	pushes
shake	shakes
encounter	encounters
reprise	reprises
signal	signals
lessen	lessens
cheer	cheers
falter	falters
claim	claims
entitle	entitles
boo	boos
lecture	lectures
burn	burns
conflict	conflicts
contact	contacts
spit	spits
predate	predates
incite	incites
merit	merits
tee	tees
highlight	highlights
patch	patches
watt	watts
slash	slashes
wield	wields
murder	murders
download	downloads
augur	augurs
solidify	solidifies
manifest	manifests
surcharge	surcharges
baby	babies
doubt	doubts
look	looks
second	seconds
hallmark	hallmarks
flock	flocks
caper	capers
facilitate	facilitates
coast	coasts
mean	means
compel	compels
project	projects
permit	permits
threaten	threatens
spiral	spirals
squabble	squabbles
tramp	tramps
correct	corrects
talk	talks
fret	frets
grub	grubs
map	maps
administer	administers
put	puts
bicycle	bicycles
kit	kits
exchange	exchanges
embrace	embraces
brook	brooks
better	betters
emphasize	emphasizes
affect	affects
relieve	relieves
thrill	thrills
declare	declares
block	blocks
ream	reams
specialize	specializes
slur	slurs
bolt	bolts
compete	competes
materialize	materializes
neck	necks
snatch	snatches
bag	bags
taper	tapers
appreciate	appreciates
ruffle	ruffles
remake	remakes
tether	tethers
spend	spends
design	designs
enlist	enlists
number	numbers
rest	rests
walk	walks
shun	shuns
stun	stuns
thunder	thunders
orphan	orphans
affiliate	affiliates
thrust	thrusts
party	parties
balance	balances
ward	wards
descend	descends
gesture	gestures
fry	fries
gas	gases
scalp	scalps
color	colors
kick	kicks
crew	crews
affirm	affirms
glimmer	glimmers
clothe	clothes
tailor	tailors
frighten	frightens
purchase	purchases
shadow	shadows
cop	copes
splinter	splinters
slim	slims
emerge	emerges
gather	gathers
depress	depresses
pain	pains
suspend	suspends
heel	heels
lace	laces
inherit	inherits
elect	elects
excuse	excuses
disagree	disagrees
ask	asks
cream	creams
ring	rings
level	levels
port	ports
reside	resides
define	defines
isolate	isolates
commune	communes
reunite	reunites
deviate	deviates
list	lists
attend	attends
pension	pensions
sail	sails
snake	snakes
bottom	bottoms
chronicle	chronicles
lever	levers
boost	boosts
season	seasons
injure	injures
allocate	allocates
overcome	overcomes
tumble	tumbles
deem	deems
man	mans
ignore	ignores
dot	dots
canvass	canvasses
vest	vests
faint	faints
corral	corrales
skirt	skirts
exist	exists
address	addresses
force	forces
fake	fakes
course	courses
panic	panics
pinch	pinches
indulge	indulges
entail	entails
progress	progresses
whistle	whistles
weed	weeds
invest	invests
state	states
center	centers
post	posts
trouser	trousers
layer	layers
discuss	discusses
silence	silences
crate	crates
approach	approaches
bear	bears
wildcat	wildcats
underlie	underlies
claw	claws
still	stills
brace	braces
stock	stocks
cooperate	cooperates
drum	drums
own	owns
render	renders
fish	fishes
joke	jokes
will	wills
sever	severs
draft	drafts
curse	curses
rev	revs
summer	summers
forget	forgets
consider	considers
tab	tabs
assemble	assembles
dismiss	dismisses
fume	fumes
reign	reigns
slop	slopes
admire	admires
club	clubs
wave	waves
load	loads
rage	rages
assault	assaults
excite	excites
commission	commissions
filter	filters
task	tasks
strip	strips
tally	tallies
fracture	fractures
escort	escorts
hurdle	hurdles
partner	partners
strive	strives
generate	generates
scout	scouts
team	teams
toss	tosses
rescue	rescues
rejoin	rejoins
seed	seeds
cool	cools
keep	keeps
stagger	staggers
ink	inks
breast	breasts
drape	drapes
giggle	giggles
reminisce	reminisces
anticipate	anticipates
deflect	deflects
sustain	sustains
motivate	motivates
cluster	clusters
export	exports
brain	brains
confront	confronts
school	schools
detest	detests
clerk	clerks
wrap	wraps
vibrate	vibrates
inspect	inspects
being	beings
hazard	hazards
engulf	engulfs
fight	fights
swoop	swoops
refer	refers
offset	offsets
step	steps
lunge	lunges
authorize	authorizes
warrant	warrants
want	wants
cork	corks
massage	massages
lick	licks
scan	scans
bus	buses
proportion	proportions
mention	mentions
advance	advances
scale	scales
guard	guards
engender	engenders
powder	powders
hog	hogs
pal	pales
bud	buds
spoil	spoils
cone	cones
cope	copes
bow	bows
register	registers
vet	vets
loan	loans
decide	decides
type	types
sow	sows
eliminate	eliminates
mine	mines
preach	preaches
import	imports
exude	exudes
strain	strains
mutate	mutates
prejudice	prejudices
soldier	soldiers
concur	concurs
influence	influences
glow	glows
answer	answers
sugar	sugars
sling	slings
pun	puns
prefer	prefers
swab	swabs
hold	holds
travel	travels
nest	nests
tread	treads
ripple	ripples
short	shorts
ball	balls
offend	offends
denote	denotes
maneuver	maneuvers
dose	doses
fashion	fashions
bench	benches
withhold	withholds
mask	masks
silver	silvers
uphold	upholds
tick	ticks
stem	stems
cling	clings
streak	streaks
express	expresses
relapse	relapses
ghost	ghosts
beat	beats
promote	promotes
blemish	blemishes
site	sites
request	requests
speed	speeds
line	lines
torpedo	torpedoes
shave	shaves
caution	cautions
click	clicks
reprint	reprints
mess	messes
truck	trucks
inform	informs
house	houses
autograph	autographs
chance	chances
snap	snaps
plant	plants
tax	taxes
plot	plots
bode	bodes
cough	coughs
view	views
amuse	amuses
lop	lopes
fire	fires
precede	precedes
pool	pools
focus	focuses
collide	collides
stain	stains
format	formats
encourage	encourages
theorize	theorizes
spotlight	spotlights
rear	rears
mist	mists
form	forms
delve	delves
differentiate	differentiates
dissolve	dissolves
pride	prides
retire	retires
bound	bounds
buffer	buffers
aggregate	aggregates
stimulate	stimulates
contract	contracts
heal	heals
anger	angers
single	singles
fox	foxes
culture	cultures
report	reports
dedicate	dedicates
box	boxes
rang	ranges
barrel	barrels
bless	blesses
stabilize	stabilizes
confirm	confirms
rank	ranks
scuffle	scuffles
frown	frowns
jerk	jerks
stall	stalls
shine	shines
trail	trails
ferret	ferrets
make	makes
hitch	hitches
remember	remembers
exceed	exceeds
email	emails
struggle	struggles
saddle	saddles
solicit	solicits
content	contents
champ	champs
chase	chases
embargo	embargoes
engineer	engineers
roster	rosters
screen	screens
span	spans
round	rounds
berth	berths
try	tries
fog	fogs
depart	departs
drop	drops
cripple	cripples
arm	arms
knuckle	knuckles
campaign	campaigns
bunker	bunkers
name	names
ride	rides
book	books
brown	browns
ponder	ponders
awaken	awakens
dodge	dodges
truss	trusses
accommodate	accommodates
beaver	beavers
microwave	microwaves
forge	forges
love	loves
fall	falls
match	matches
wire	wires
touch	touches
soup	soups
pill	pills
commute	commutes
profess	professes
horn	horns
summarize	summarizes
clean	cleans
air	airs
lower	lowers
negotiate	negotiates
extend	extends
art	arts
slump	slumps
haunt	haunts
lift	lifts
diminish	diminishes
discourage	discourages
grunt	grunts
surpass	surpasses
crease	creases
rally	rallies
merge	merges
resort	resorts
revive	revives
chat	chats
subsidize	subsidizes
occur	occurs
seep	seeps
attack	attacks
visit	visits
suggest	suggests
outlaw	outlaws
queue	queues
qualify	qualifies
input	inputs
denounce	denounces
purport	purports
gun	guns
prune	prunes
anchor	anchors
linger	lingers
avoid	avoids
convert	converts
rotate	rotates
board	boards
supplement	supplements
alienate	alienates
fool	fools
top	tops
founder	founders
incur	incurs
disintegrate	disintegrates
chime	chimes
record	records
jingle	jingles
tilt	tilts
serenade	serenades
track	tracks
signify	signifies
recount	recounts
sue	sues
dull	dulles
crank	cranks
intimate	intimates
activate	activates
brighten	brightens
infringe	infringes
conclude	concludes
time	times
choke	chokes
oblige	obliges
undertake	undertakes
punish	punishes
peg	pegs
cure	cures
resemble	resembles
perfume	perfumes
slit	slits
foot	foots
riddle	riddles
scold	scolds
staff	staffs
envelop	envelopes
discipline	disciplines
nuke	nukes
substitute	substitutes
crawl	crawls
quiver	quivers
drink	drinks
howl	howls
wheel	wheels
shaft	shafts
publish	publishes
alter	alters
chew	chews
aim	aims
devalue	devalues
ski	skies
blunder	blunders
franchise	franchises
suppose	supposes
cook	cooks
think	thinks
notice	notices
reprimand	reprimands
constitute	constitutes
blank	blanks
recollect	recollects
apply	applies
power	powers
snowball	snowballs
miss	misses
motion	motions
waltz	waltzes
contend	contends
complain	complains
sneeze	sneezes
operate	operates
swallow	swallows
pass	passes
growl	growls
refuse	refuses
satisfy	satisfies
crane	cranes
check	checks
select	selects
prolong	prolongs
inconvenience	inconveniences
indict	indicts
attempt	attempts
chuckle	chuckles
crayon	crayons
loom	looms
meander	meanders
widen	widens
voice	voices
temper	tempers
ensure	ensures
inquire	inquires
remedy	remedies
value	values
sit	sits
help	helps
overdose	overdoses
burden	burdens
stoop	stoops
quicken	quickens
commemorate	commemorates
vote	votes
narrow	narrows
connote	connotes
bounce	bounces
dust	dusts
solve	solves
parcel	parcels
pulse	pulses
worship	worships
invoke	invokes
caricature	caricatures
glory	glories
bandage	bandages
wad	wads
clock	clocks
backfire	backfires
flow	flows
safeguard	safeguards
adore	adores
ratify	ratifies
father	fathers
eagle	eagles
tot	tots
propagate	propagates
carol	carols
reflect	reflects
stroll	strolls
rewrite	rewrites
reap	reaps
skip	skips
skate	skates
shipwreck	shipwrecks
pawn	pawns
buckle	buckles
speak	speaks
tempt	tempts
rerun	reruns
partition	partitions
mix	mixes
demand	demands
account	accounts
compromise	compromises
dock	docks
maximize	maximizes
articulate	articulates
copy	copies
cry	cries
swear	swears
unlock	unlocks
lash	lashes
wind	winds
crumble	crumbles
recognize	recognizes
bruise	bruises
initiate	initiates
engage	engages
scratch	scratches
curtain	curtains
veto	vetoes
tutor	tutors
salt	salts
boom	booms
indicate	indicates
shelter	shelters
pose	poses
ache	aches
bean	beans
displace	displaces
hail	hails
hinder	hinders
crook	crooks
tackle	tackles
grip	grips
mind	minds
spook	spooks
sleep	sleeps
trump	trumps
twig	twigs
negative	negatives
dare	dares
shear	shears
respond	responds
raise	raises
embody	embodies
grow	grows
leap	leaps
understand	understands
spy	spies
allude	alludes
reward	rewards
putter	putters
ration	rations
pedal	pedals
grant	grants
inflate	inflates
ticket	tickets
trickle	trickles
harm	harms
bluff	bluffs
clutch	clutches
smoke	smokes
nudge	nudges
rob	robs
attach	attaches
benefit	benefits
cow	cows
flee	flees
telescope	telescopes
rack	racks
remark	remarks
educate	educates
puff	puffs
transmit	transmits
restore	restores
treasure	treasures
intrude	intrudes
argue	argues
letter	letters
stride	strides
bathe	bathes
imply	implies
nick	nicks
convict	convicts
have	haves
jet	jets
last	lasts
resign	resigns
slack	slacks
remind	reminds
section	sections
down	downs
proclaim	proclaims
grit	grits
slick	slicks
rose	roses
contain	contains
plume	plumes
clip	clips
determine	determines
describe	describes
leaflet	leaflets
stoke	stokes
petition	petitions
exempt	exempts
relax	relaxes
illustrate	illustrates
slip	slips
smile	smiles
romance	romances
fancy	fancies
inhabit	inhabits
rope	ropes
nurse	nurses
heat	heats
cleave	cleaves
belie	belies
probe	probes
pertain	pertains
assign	assigns
fuel	fuels
disguise	disguises
bunch	bunches
limit	limits
halt	halts
sentence	sentences
condition	conditions
guest	guests
blow	blows
voyage	voyages
pot	pots
cement	cements
transplant	transplants
troop	troops
park	parks
approximate	approximates
messenger	messengers
shop	shops
rumble	rumbles
strut	struts
trouble	troubles
forgive	forgives
mortgage	mortgages
hound	hounds
glass	glasses
postpone	postpones
fuse	fuses
fiddle	fiddles
slice	slices
regiment	regiments
validate	validates
recommend	recommends
split	splits
arrange	arranges
mill	mills
cue	cues
tone	tones
relish	relishes
dart	darts
boss	bosses
lie	lies
taunt	taunts
foil	foils
sense	senses
steam	steams
court	courts
muster	musters
agree	agrees
escape	escapes
farm	farms
flop	flops
correlate	correlates
laugh	laughs
specify	specifies
bug	bugs
bleed	bleeds
migrate	migrates
egg	eggs
simulate	simulates
noise	noises
go	goes
best	bests
credit	credits
lose	loses
swipe	swipes
succeed	succeeds
cage	cages
shiver	shivers
abound	abounds
squeak	squeaks
entrance	entrances
code	codes
card	cards
rip	rips
distance	distances
pipe	pipes
frame	frames
kite	kites
withdraw	withdraws
drug	drugs
produce	produces
combat	combats
mouth	mouths
sub	subs
explode	explodes
loathe	loathes
medal	medals
hack	hacks
beep	beeps
occasion	occasions
spare	spares
please	pleases
hurt	hurts
courier	couriers
major	majors
shelve	shelves
unleash	unleashes
characterize	characterizes
adjust	adjusts
proposition	propositions
reform	reforms
bore	bores
picture	pictures
coincide	coincides
spark	sparks
mourn	mourns
unfold	unfolds
transfer	transfers
observe	observes
opt	opts
detour	detours
regret	regrets
run	runs
dash	dashes
shoot	shoots
weigh	weighs
lurk	lurks
pierce	pierces
network	networks
hate	hates
mother	mothers
quarrel	quarrels
certify	certifies
relate	relates
pave	paves
shy	shies
action	actions
intercept	intercepts
justify	justifies
congratulate	congratulates
blood	bloods
headline	headlines
hose	hoses
strengthen	strengthens
throng	throngs
differ	differs
brick	bricks
taste	tastes
rehearse	rehearses
contrast	contrasts
glimpse	glimpses
call	calls
auction	auctions
create	creates
rate	rates
brand	brands
invite	invites
grade	grades
prophesy	prophesies
cut	cuts
broadside	broadsides
diagnose	diagnoses
sprain	sprains
comfort	comforts
predominate	predominates
thrive	thrives
yell	yells
wreak	wreaks
roll	rolls
wrench	wrenches
equate	equates
videotape	videotapes
dispose	disposes
grind	grinds
prevent	prevents
reef	reefs
advertise	advertises
celebrate	celebrates
base	bases
spout	spouts
string	strings
purge	purges
floor	floors
wake	wakes
part	parts
suffer	suffers
cross	crosses
skid	skids
conduct	conducts
bundle	bundles
chart	charts
peel	peels
face	faces
impose	imposes
joint	joints
pale	pales
pit	pits
couple	couples
roof	roofs
branch	branches
compress	compresses
exacerbate	exacerbates
corner	corners
hedge	hedges
steel	steels
zone	zones
taxi	taxis
stress	stresses
tank	tanks
behave	behaves
trial	trials
mull	mulls
desert	deserts
rap	rapes
conceal	conceals
bog	bogs
consult	consults
root	roots
propel	propels
translate	translates
nod	nodes
leave	leaves
blanket	blankets
phone	phones
march	marches
mistake	mistakes
summon	summons
mount	mounts
suit	suits
jar	jars
poke	pokes
plug	plugs
buck	bucks
crash	crashes
factor	factors
tend	tends
reason	reasons
boot	boots
hull	hulls
sack	sacks
build	builds
crunch	crunches
intervene	intervenes
pen	pens
shack	shacks
bark	barks
like	likes
game	games
improvise	improvises
broker	brokers
bare	bares
empower	empowers
piece	pieces
compute	computes
disarm	disarms
spot	spots
right	rights
supervise	supervises
develop	develops
bottle	bottles
fluctuate	fluctuates
sight	sights
deter	deters
bomb	bombs
splash	splashes
diagram	diagrams
decrease	decreases
exhaust	exhausts
brave	braves
sock	socks
float	floats
gasp	gasps
disturb	disturbs
railroad	railroads
vow	vows
average	averages
herd	herds
spike	spikes
gang	gangs
solder	solders
glance	glances
impart	imparts
oversee	oversees
order	orders
care	cares
modify	modifies
cheek	cheeks
apologize	apologizes
steal	steals
shout	shouts
mint	mints
jam	james
assist	assists
rifle	rifles
crusade	crusades
reply	replies
devastate	devastates
intensify	intensifies
cheat	cheats
ace	aces
clog	clogs
brew	brews
strike	strikes
insert	inserts
stir	stirs
profile	profiles
introduce	introduces
whisper	whispers
reduce	reduces
accuse	accuses
bitch	bitches
simmer	simmers
benchmark	benchmarks
annex	annexes
lurch	lurches
favor	favors
queer	queers
firebomb	firebombs
overlap	overlaps
snipe	snipes
ignite	ignites
beef	beefs
battle	battles
mimic	mimics
revolve	revolves
upload	uploads
rely	relies
market	markets
braid	braids
stint	stints
doodle	doodles
ballot	ballots
contest	contests
abstract	abstracts
avert	averts
assert	asserts
rise	rises
net	nets
date	dates
lob	lobes
tan	tans
source	sources
parade	parades
surface	surfaces
respect	respects
telephone	telephones
brief	briefs
shepherd	shepherds
encapsulate	encapsulates
disadvantage	disadvantages
defer	defers
halve	halves
mike	mikes
spin	spines
hover	hovers
table	tables
assume	assumes
adapt	adapts
evaporate	evaporates
persuade	persuades
risk	risks
scheme	schemes
flower	flowers
sear	sears
poison	poisons
issue	issues
yellow	yellows
hole	holes
minor	minors
zip	zips
dawn	dawns
bulge	bulges
stick	sticks
scrub	scrubs
cock	cocks
overshadow	overshadows
interpret	interprets
decry	decries
slum	slums
depict	depicts
exile	exiles
unite	unites
feature	features
smash	smashes
screw	screws
verge	verges
sponge	sponges
transform	transforms
paint	paints
believe	believes
carpet	carpets
latch	latches
blind	blinds
parole	paroles
stab	stabs
divide	divides
tense	tenses
dent	dents
overcharge	overcharges
log	logs
timetable	timetables
foul	fouls
moor	moors
bed	beds
stretch	stretches
career	careers
expel	expels
charge	charges
levy	levies
pore	pores
defeat	defeats
tunnel	tunnels
crown	crowns
tolerate	tolerates
pony	ponies
chip	chips
invoice	invoices
doll	dolls
tell	tells
portend	portends
seduce	seduces
illuminate	illuminates
begin	begins
improve	improves
crow	crows
guide	guides
challenge	challenges
disable	disables
cache	caches
feed	feeds
compare	compares
fan	fans
blame	blames
outstrip	outstrips
fund	funds
work	works
soar	soares
shock	shocks
diet	diets
symbolize	symbolizes
converge	converges
pant	pants
uncover	uncovers
duck	ducks
doorstep	doorsteps
hollow	hollows
separate	separates
canoe	canoes
propose	proposes
extract	extracts
word	words
kink	kinks
enter	enters
intersect	intersects
remove	removes
massacre	massacres
lounge	lounges
wrinkle	wrinkles
greet	greets
bale	bales
shorten	shortens
pound	pounds
hope	hopes
rival	rivals
sex	sexes
come	comes
result	results
triumph	triumphs
keyboard	keyboards
tongue	tongues
send	sends
rent	rents
wrestle	wrestles
pencil	pencils
retrieve	retrieves
fizzle	fizzles
share	shares
figure	figures
resume	resumes
resource	resources
bestow	bestows
judge	judges
dam	dams
jack	jacks
batter	batters
worry	worries
imprint	imprints
intend	intends
transport	transports
hide	hides
even	evens
lapse	lapses
hint	hints
lope	lopes
squeeze	squeezes
waste	wastes
accompany	accompanies
stone	stones
soften	softens
borrow	borrows
master	masters
simplify	simplifies
ruin	ruins
return	returns
criticize	criticizes
gauge	gauges
monitor	monitors
supply	supplies
stage	stages
belt	belts
route	routes
bind	binds
wipe	wipes
lamb	lambs
write	writes
troll	trolls
announce	announces
deck	decks
iron	irons
pasture	pastures
outline	outlines
animate	animates
convince	convinces
insure	insures
provision	provisions
underline	underlines
crop	crops
mark	marks
plague	plagues
mug	mugs
lure	lures
purse	purses
plateau	plateaus
endanger	endangers
participate	participates
dick	dicks
tart	tarts
funnel	funnels
breathe	breathes
narrate	narrates
omit	omits
sponsor	sponsors
stable	stables
ditch	ditches
elbow	elbows
preserve	preserves
infer	infers
persist	persists
flap	flaps
adjourn	adjourns
alleviate	alleviates
recycle	recycles
cushion	cushions
portion	portions
mime	mimes
back	backs
react	reacts
whip	whips
shoulder	shoulders
posit	posits
shield	shields
plow	plows
find	finds
stalk	stalks
shin	shines
toll	tolls
delight	delights
revert	reverts
originate	originates
use	uses
compound	compounds
amplify	amplifies
weekend	weekends
ridicule	ridicules
weld	welds
raid	raids
picket	pickets
fur	furs
lap	laps
subject	subjects
neutralize	neutralizes
dress	dresses
treat	treats
needle	needles
stump	stumps
marvel	marvels
reappear	reappears
dispute	disputes
stomach	stomachs
prepare	prepares
slap	slaps
cease	ceases
process	processes
photocopy	photocopies
snow	snows
fault	faults
charm	charms
shatter	shatters
bucket	buckets
represent	represents
start	starts
smother	smothers
damage	damages
lend	lends
dog	dogs
cost	costs
scream	screams
blast	blasts
suck	sucks
dissent	dissents
wobble	wobbles
cause	causes
repeal	repeals
acquit	acquits
flag	flags
insist	insists
terrorize	terrorizes
outweigh	outweighs
quip	quips
tape	tapes
glide	glides
subscribe	subscribes
outperform	outperforms
thumb	thumbs
catalogue	catalogues
pioneer	pioneers
yield	yields
pile	piles
putt	putts
confuse	confuses
clot	clots
blister	blisters
cart	carts
shrug	shrugs
support	supports
beard	beards
murmur	murmurs
hamper	hampers
graft	grafts
prop	props
predict	predicts
cashier	cashiers
contribute	contributes
reference	references
connect	connects
devise	devises
sag	sages
exaggerate	exaggerates
feel	feels
bypass	bypasses
solo	solos
trace	traces
eclipse	eclipses
retain	retains
surge	surges
paw	paws
torch	torches
maintain	maintains
gore	gores
pump	pumps
ground	grounds
embark	embarks
sob	sobs
snarl	snarls
direct	directs
