internal	internally
strenuous	strenuously
editorial	editorially
unconscious	unconsciously
soft	softly
meticulous	meticulously
rude	rudely
strange	strangely
lateral	laterally
exceptional	exceptionally
studious	studiously
ginger	gingerly
common	commonly
abstract	abstractly
concise	concisely
inexplicable	inexplicably
frequent	frequently
disparaging	disparagingly
quick	quickly
progressive	progressively
hilarious	hilariously
adverse	adversely
dark	darkly
excessive	excessively
expensive	expensively
ardent	ardently
speedy	speedily
delicate	delicately
astronomical	astronomically
ominous	ominously
handsome	handsomely
undeniable	undeniably
invisible	invisibly
minimal	minimally
abrupt	abruptly
royal	royally
assiduous	assiduously
current	currently
indiscriminate	indiscriminately
dishonest	dishonestly
former	formerly
courageous	courageously
clandestine	clandestinely
endless	endlessly
foolish	foolishly
provocative	provocatively
affectionate	affectionately
improbable	improbably
precise	precisely
creative	creatively
effective	effectively
impossible	impossibly
decisive	decisively
converse	conversely
functional	functionally
absurd	absurdly
categorical	categorically
definitive	definitively
environmental	environmentally
social	socially
ritual	ritually
unofficial	unofficially
poignant	poignantly
scanty	scantily
grim	grimly
disproportionate	disproportionately
miserable	miserably
profound	profoundly
innocent	innocently
clumsy	clumsily
transparent	transparently
cultural	culturally
flawless	flawlessly
complete	completely
morbid	morbidly
graceful	gracefully
experimental	experimentally
anonymous	anonymously
beneficial	beneficially
laborious	laboriously
blatant	blatantly
excited	excitedly
humorous	humorously
humble	humbly
impatient	impatiently
cumulative	cumulatively
smart	smartly
decided	decidedly
geographical	geographically
eerie	eerily
painstaking	painstakingly
contemptuous	contemptuously
imperfect	imperfectly
sufficient	sufficiently
blind	blindly
insufficient	insufficiently
intent	intently
mental	mentally
fiscal	fiscally
expert	expertly
sensational	sensationally
divine	divinely
solemn	solemnly
facetious	facetiously
economical	economically
independent	independently
irrational	irrationally
impartial	impartially
unlawful	unlawfully
brisk	briskly
rapid	rapidly
comparative	comparatively
willing	willingly
quantitative	quantitatively
clever	cleverly
professional	professionally
genuine	genuinely
