essay	essays
kidney	kidneys
almond	almonds
baton	batons
factory	factories
businessman	businessmen
currency	currencies
plantation	plantations
institute	institutes
stoppage	stoppages
navy	navies
million	millions
provider	providers
corporal	corporals
seasoning	seasonings
wheel	wheels
transmitter	transmitters
tow	tows
wolf	wolves
lamp	lamps
expense	expenses
bust	busts
grid	grids
prediction	predictions
gum	gums
darling	darlings
apple	apples
fed	feds
outline	outlines
scoundrel	scoundrels
trooper	troopers
trio	trios
shoemaker	shoemakers
nozzle	nozzles
parrot	parrots
river	rivers
canal	canals
sortie	sorties
payoff	payoffs
spacesuit	spacesuits
positive	positives
cooperative	cooperatives
allusion	allusions
differential	differentials
kingdom	kingdoms
asteroid	asteroids
voice	voices
strategy	strategies
sponsorship	sponsorships
saloon	saloons
stranger	strangers
plum	plums
cooler	coolers
clue	clues
smith	smiths
badger	badgers
gnat	gnats
charity	charities
finger	fingers
picker	pickers
demo	demos
cyst	cysts
freeman	freemen
given	givens
escapee	escapees
batter	batters
parody	parodies
headset	headsets
nerd	nerds
linkage	linkages
excerpt	excerpts
greeting	greetings
digit	digits
quantity	quantities
interstate	interstates
franchisee	franchisees
flip	flips
vault	vaults
survey	surveys
prodigy	prodigies
flaw	flaws
shrink	shrinks
slugger	sluggers
suspect	suspects
breakthrough	breakthroughs
handle	handles
custom	customs
rag	rages
tapestry	tapestries
cruelty	cruelties
donor	donors
trigger	triggers
tom	toms
duck	ducks
memento	mementos
capitalist	capitalists
slur	slurs
bouquet	bouquets
punt	punts
latrine	latrines
retake	retakes
lookout	lookouts
omen	omens
legion	legions
handgun	handguns
one	ones
fad	fads
bargain	bargains
comedian	comedians
circumstance	circumstances
rug	rugs
snowstorm	snowstorms
cemetery	cemeteries
pump	pumps
inconsistency	inconsistencies
badge	badges
mower	mowers
mass	masses
fairground	fairgrounds
flashback	flashbacks
fabrication	fabrications
note	notes
knock	knocks
indictment	indictments
zero	zeros
foreigner	foreigners
roar	roars
pitch	pitches
flex	flexes
punchline	punchlines
mirage	mirages
burn	burns
gunner	gunners
creditor	creditors
night	nights
zip	zips
haul	hauls
infection	infections
cougar	cougars
opener	openers
bend	bends
academician	academicians
stock	stocks
sentinel	sentinels
homily	homilies
bribe	bribes
stab	stabs
beret	berets
palace	palaces
nostril	nostrils
muffin	muffins
exclamation	exclamations
conga	congas
bud	buds
ism	isms
ritual	rituals
delinquency	delinquencies
boast	boasts
ball	balls
gunboat	gunboats
acid	acids
disk	disks
removal	removals
plague	plagues
push	pushes
encounter	encounters
signal	signals
fairy	fairies
epitaph	epitaphs
swimsuit	swimsuits
maiden	maidens
songbird	songbirds
fleck	flecks
foot	foots
yuppie	yuppies
canteen	canteens
slash	slashes
ratio	ratios
lining	linings
platoon	platoons
prosthesis	prostheses
governor	governors
longshoreman	longshoremen
commendation	commendations
sliver	slivers
hallmark	hallmarks
flock	flocks
informer	informers
numeral	numerals
guitar	guitars
funeral	funerals
image	images
implication	implications
mansion	mansions
superman	supermen
exchange	exchanges
perception	perceptions
if	ifs
success	successes
imagination	imaginations
shelf	shelves
panther	panthers
brood	broods
locust	locusts
norm	norms
bolt	bolts
chair	chairs
plumber	plumbers
yardstick	yardsticks
ruffle	ruffles
gallon	gallons
dreamer	dreamers
sniper	snipers
generalization	generalizations
slaying	slayings
walk	walks
stretcher	stretchers
reminder	reminders
spectacle	spectacles
cayman	caymans
theatre	theatres
warrior	warriors
kick	kicks
giant	giants
explorer	explorers
jingle	jingles
jelly	jellies
street	streets
azalea	azaleas
tort	torts
stewardess	stewardesses
advancement	advancements
hierarchy	hierarchies
chevron	chevrons
quiz	quizzes
surfer	surfers
lick	licks
pet	pets
tyrant	tyrants
linguist	linguists
waiter	waiters
grandson	grandsons
width	widths
buffalo	buffaloes
blue	blues
cohort	cohorts
timetable	timetables
sail	sails
civilization	civilizations
consulate	consulates
lever	levers
wizard	wizards
subtlety	subtleties
configuration	configurations
supermodel	supermodels
libertarian	libertarians
farewell	farewells
dot	dots
parlor	parlors
notion	notions
region	regions
caste	castes
altar	altars
occasion	occasions
province	provinces
stove	stoves
pinch	pinches
episode	episodes
ceasefire	ceasefires
jay	jays
neophyte	neophytes
superstition	superstitions
member	members
abnormality	abnormalities
assignment	assignments
post	posts
adverb	adverbs
bagel	bagels
constant	constants
motel	motels
transaction	transactions
cafeteria	cafeterias
creed	creeds
alleyway	alleyways
presidency	presidencies
edition	editions
facility	facilities
atlas	atlases
commute	commutes
relative	relatives
paratrooper	paratroopers
buttock	buttocks
wave	waves
array	arrays
promo	promos
rage	rages
cigarette	cigarettes
filter	filters
hospital	hospitals
hernia	hernias
tally	tallies
processor	processors
escort	escorts
defibrillator	defibrillators
telegram	telegrams
collision	collisions
sweeper	sweepers
market	markets
playmate	playmates
cache	caches
doer	doers
delegate	delegates
writer	writers
island	islands
envoy	envoys
derrick	derricks
industry	industries
falsehood	falsehoods
cinema	cinemas
microwave	microwaves
friction	frictions
school	schools
goody	goodies
skier	skiers
mouthpiece	mouthpieces
bookshelf	bookshelves
viper	vipers
donkey	donkeys
mullah	mullahs
awning	awnings
commentator	commentators
bod	bodes
pal	pales
hart	harts
stereo	stereos
district	districts
half	halves
following	followings
import	imports
racer	racers
barge	barges
relic	relics
influence	influences
keeper	keepers
walker	walkers
regime	regimes
caucus	caucuses
illustrator	illustrators
ripple	ripples
exploit	exploits
royalist	royalists
bench	benches
marking	markings
pregnancy	pregnancies
analyst	analysts
bastion	bastions
necktie	neckties
beat	beats
tic	tics
chancellor	chancellors
fee	fees
ordinance	ordinances
poison	poisons
consumer	consumers
pillar	pillars
figurine	figurines
clown	clowns
tax	taxes
veterinarian	veterinarians
receipt	receipts
tassel	tassels
luxury	luxuries
royalty	royalties
violet	violets
lobster	lobsters
goose	geese
convert	converts
knuckle	knuckles
thing	things
aberration	aberrations
anecdote	anecdotes
single	singles
innovation	innovations
sect	sects
attendant	attendants
supremacist	supremacists
nameplate	nameplates
pirate	pirates
mayor	mayors
prescription	prescriptions
diversion	diversions
army	armies
wreck	wrecks
screen	screens
span	spans
gala	galas
mountaineer	mountaineers
try	tries
abolitionist	abolitionists
hanger	hangers
coating	coatings
cairn	cairns
sky	skies
admission	admissions
name	names
cub	cubs
brownfield	brownfields
tub	tubes
fret	frets
disagreement	disagreements
superstar	superstars
crane	cranes
leader	leaders
misadventure	misadventures
crewman	crewmen
kingpin	kingpins
observer	observers
sex	sexes
tuner	tuners
rerun	reruns
berth	berths
car	cars
effect	effects
birdie	birdies
swarm	swarms
bombing	bombings
caravan	caravans
nurse	nurses
enforcer	enforcers
stand	stands
referendum	referendums
trestle	trestles
bumper	bumpers
scam	scams
die	dies
manipulator	manipulators
tender	tenders
foot	feet
anthem	anthems
spreadsheet	spreadsheets
archive	archives
opinion	opinions
missile	missiles
transformer	transformers
eraser	erasers
coordinator	coordinators
part	parts
academic	academics
recorder	recorders
commentary	commentaries
peg	pegs
turner	turners
ride	rides
loop	loops
chase	chases
mutant	mutants
groove	grooves
nuke	nukes
freedom	freedoms
handkerchief	handkerchiefs
path	paths
flag	flags
giggle	giggles
shaft	shafts
ewe	ewes
spic	spices
spokesman	spokesmen
fundraiser	fundraisers
parent	parents
consonant	consonants
washer	washers
lawsuit	lawsuits
spiritual	spirituals
gallery	galleries
sedan	sedans
pass	passes
match	matches
abuse	abuses
crayon	crayons
seagull	seagulls
rook	rooks
sea	seas
haircut	haircuts
burden	burdens
puppet	puppets
man	mans
cope	copes
chum	chums
hillbilly	hillbillies
urchin	urchins
dance	dances
burrito	burritos
graft	grafts
probe	probes
gill	gills
peddler	peddlers
whale	whales
sentry	sentries
compromise	compromises
sentence	sentences
copy	copies
cry	cries
signatory	signatories
referral	referrals
caisson	caissons
powerhouse	powerhouses
ache	aches
miss	misses
mind	minds
taunt	taunts
panda	pandas
trumpeter	trumpeters
cherry	cherries
robe	robes
fort	forts
archipelago	archipelagos
pint	pints
leap	leaps
parishioner	parishioners
divide	divides
pulse	pulses
allocation	allocations
magistrate	magistrates
utility	utilities
girl	girls
splash	splashes
howitzer	howitzers
patriarch	patriarchs
jurist	jurists
apartment	apartments
harp	harps
liquid	liquids
agent	agents
retriever	retrievers
intern	interns
pelican	pelicans
alum	alums
petition	petitions
financier	financiers
aerosol	aerosols
slip	slips
fancy	fancies
shareholding	shareholdings
quadrant	quadrants
embassy	embassies
constituent	constituents
technology	technologies
detector	detectors
teen	teens
termite	termites
disguise	disguises
asterisk	asterisks
fraternity	fraternities
rake	rakes
blow	blows
biologist	biologists
john	johns
refund	refunds
mound	mounds
sharp	sharps
cockroach	cockroaches
circus	circuses
fossil	fossils
castle	castles
dart	darts
freighter	freighters
beauty	beauties
tornado	tornadoes
nephew	nephews
sticker	stickers
calf	calves
cataract	cataracts
astrologer	astrologers
brow	brows
farm	farms
blessing	blessings
quote	quotes
reaction	reactions
zoologist	zoologists
noise	noises
operation	operations
lung	lungs
squeak	squeaks
barrage	barrages
infant	infants
migrant	migrants
conditioner	conditioners
peculiarity	peculiarities
rave	raves
spare	spares
hoop	hoops
speculator	speculators
girlfriend	girlfriends
sentiment	sentiments
trailer	trailers
speculation	speculations
guardsman	guardsmen
pacemaker	pacemakers
narrative	narratives
witness	witnesses
swirl	swirls
deduction	deductions
hors	horses
locker	lockers
quasar	quasars
run	runs
cleric	clerics
tomb	tombs
eleven	elevens
animosity	animosities
drop	drops
commander	commanders
gratuity	gratuities
piston	pistons
neurosis	neuroses
drum	drums
tank	tanks
agenda	agendas
invite	invites
carpenter	carpenters
heron	herons
survivor	survivors
morning	mornings
payload	payloads
videotape	videotapes
suffering	sufferings
reef	reefs
raccoon	raccoons
thousand	thousands
ton	tons
discard	discards
physician	physicians
realignment	realignments
curriculum	curricula
sucker	suckers
gag	gags
tenth	tenths
subscription	subscriptions
anxiety	anxieties
public	publics
duckling	ducklings
benchmark	benchmarks
flash	flashes
green	greens
corner	corners
pause	pauses
cellar	cellars
taxi	taxis
connection	connections
start	starts
piano	pianos
disorder	disorders
firearm	firearms
classification	classifications
energy	energies
expletive	expletives
cam	cams
widget	widgets
conference	conferences
blanket	blankets
dancer	dancers
row	rows
pane	panes
dinner	dinners
plug	plugs
pipeline	pipelines
triangle	triangles
overture	overtures
con	cons
boot	boots
election	elections
pimp	pimps
terrace	terraces
dugout	dugouts
covenant	covenants
payment	payments
specialist	specialists
chestnut	chestnuts
diocese	dioceses
sphere	spheres
spot	spots
syringe	syringes
bottle	bottles
extract	extracts
safari	safaris
map	maps
sock	socks
beetle	beetles
accident	accidents
railroad	railroads
podium	podiums
suffix	suffixes
cavern	caverns
evergreen	evergreens
firefighter	firefighters
chiropractor	chiropractors
transparency	transparencies
posse	posses
poppy	poppies
this	these
reply	replies
cookie	cookies
honeybee	honeybees
inhabitant	inhabitants
checklist	checklists
pound	pounds
visionary	visionaries
rooster	roosters
plastic	plastics
nibble	nibbles
priestess	priestesses
islander	islanders
crease	creases
dam	dams
diner	diners
firebomb	firebombs
printer	printers
grandstand	grandstands
loophole	loopholes
shortfall	shortfalls
casualty	casualties
brewery	breweries
vocabulary	vocabularies
tuck	tucks
nightclub	nightclubs
ash	ashes
stalwart	stalwarts
checker	checkers
devotee	devotees
evangelist	evangelists
resolution	resolutions
comic	comics
scrape	scrapes
risk	risks
scheme	schemes
cog	cogs
yellow	yellows
cashier	cashiers
talon	talons
commodity	commodities
inspection	inspections
ski	skis
receiver	receivers
mount	mounts
grip	grips
exaggeration	exaggerations
feature	features
transfusion	transfusions
hoax	hoaxes
staffer	staffers
heroine	heroines
antihistamine	antihistamines
spa	spas
tense	tenses
chord	chords
mat	mates
example	examples
charge	charges
pullback	pullbacks
gibbon	gibbons
publisher	publishers
score	scores
feud	feuds
alligator	alligators
intensity	intensities
guide	guides
reference	references
glimmer	glimmers
smoker	smokers
format	formats
tot	tots
delinquent	delinquents
shock	shocks
stake	stakes
beginner	beginners
pol	poles
inhaler	inhalers
pore	pores
beverage	beverages
objective	objectives
keyboard	keyboards
indication	indications
boxer	boxers
sausage	sausages
stem	stems
patron	patrons
advantage	advantages
wildfire	wildfires
discounter	discounters
brief	briefs
grave	graves
rod	rods
backlog	backlogs
master	masters
lapel	lapels
pod	pods
swoop	swoops
creep	creeps
banana	bananas
hundred	hundreds
kickback	kickbacks
mag	mags
defeat	defeats
wrapper	wrappers
deck	decks
handset	handsets
symphony	symphonies
supercomputer	supercomputers
groan	groans
periodical	periodicals
twist	twists
monopoly	monopolies
burro	burros
tech	techs
elbow	elbows
siege	sieges
objector	objectors
hopper	hoppers
pizza	pizzas
perversion	perversions
expenditure	expenditures
hornet	hornets
repression	repressions
technocrat	technocrats
toll	tolls
backpack	backpacks
precedent	precedents
conductor	conductors
aviator	aviators
carload	carloads
pigment	pigments
connoisseur	connoisseurs
fingertip	fingertips
needle	needles
ovary	ovaries
abstraction	abstractions
desktop	desktops
tout	touts
residence	residences
smokestack	smokestacks
bucket	buckets
sneeze	sneezes
swim	swims
plaza	plazas
stratum	strata
blast	blasts
enclosure	enclosures
exhibit	exhibits
hardship	hardships
eyewitness	eyewitnesses
cent	cents
blotch	blotches
spade	spades
tier	tiers
clot	clots
fountain	fountains
commissioner	commissioners
cocktail	cocktails
bartender	bartenders
assassin	assassins
rent	rents
tampon	tampons
eclipse	eclipses
label	labels
dumpling	dumplings
tap	tapes
surge	surges
condor	condors
ton	tones
clearance	clearances
window	windows
footprint	footprints
playground	playgrounds
kicker	kickers
skunk	skunks
gutter	gutters
government	governments
pumpkin	pumpkins
brook	brooks
appointment	appointments
aptitude	aptitudes
termination	terminations
impropriety	improprieties
elder	elders
budget	budgets
racist	racists
execution	executions
savanna	savannas
consultation	consultations
iceberg	icebergs
memorial	memorials
vase	vases
chopper	choppers
puma	pumas
shark	sharks
domino	dominoes
sensibility	sensibilities
rider	riders
antenna	antennae
vendor	vendors
mama	mamas
ounce	ounces
anagram	anagrams
owl	owls
complexity	complexities
haystack	haystacks
orbit	orbits
margin	margins
pastime	pastimes
seedling	seedlings
meteor	meteors
shrine	shrines
spray	sprays
canine	canines
talkie	talkies
quarter	quarters
dude	dudes
grandmother	grandmothers
boycott	boycotts
curse	curses
synthesizer	synthesizers
undergarment	undergarments
code	codes
delta	deltas
landmark	landmarks
coil	coils
manatee	manatees
testimony	testimonies
mafioso	mafiosi
soil	soils
godfather	godfathers
adjective	adjectives
mouse	mice
calendar	calendars
pal	pals
neutron	neutrons
similarity	similarities
strait	straits
grad	grades
bypass	bypasses
kennel	kennels
relapse	relapses
vote	votes
inch	inches
goddess	goddesses
rate	rates
aphorism	aphorisms
complement	complements
autobiography	autobiographies
investigator	investigators
aunt	aunts
renegade	renegades
honor	honors
entitlement	entitlements
plot	plots
closure	closures
stitch	stitches
container	containers
offshoot	offshoots
interval	intervals
record	records
limb	limbs
guidebook	guidebooks
mule	mules
switch	switches
robot	robots
multiplex	multiplexes
orchid	orchids
hick	hicks
logger	loggers
multitude	multitudes
intrusion	intrusions
prize	prizes
fence	fences
crackdown	crackdowns
limousine	limousines
dropout	dropouts
executioner	executioners
suite	suites
dictator	dictators
tusk	tusks
module	modules
detail	details
confession	confessions
sophomore	sophomores
teacher	teachers
diuretic	diuretics
trail	trails
prospectus	prospectuses
eighth	eighths
novelist	novelists
cheer	cheers
safeguard	safeguards
healer	healers
lottery	lotteries
correlate	correlates
private	privates
variant	variants
surrogate	surrogates
field	fields
globe	globes
belly	bellies
outfit	outfits
fox	foxes
slope	slopes
blueberry	blueberries
soda	sodas
cassette	cassettes
moan	moans
sister	sisters
expectation	expectations
antenna	antennas
vent	vents
manifest	manifests
comment	comments
quartet	quartets
Negro	Negroes
seminar	seminars
salamander	salamanders
breach	breaches
amount	amounts
study	studies
bag	bags
eight	eights
ruling	rulings
trunk	trunks
silhouette	silhouettes
vein	veins
rim	rims
document	documents
proof	proofs
toilet	toilets
regulation	regulations
raven	ravens
mercenary	mercenaries
punter	punters
emissary	emissaries
coastline	coastlines
mask	masks
tea	teas
lorry	lorries
cactus	cacti
addiction	addictions
sign	signs
conflict	conflicts
barney	barneys
canoe	canoes
complaint	complaints
well	wells
account	accounts
pointer	pointers
usher	ushers
bugle	bugles
penny	pence
listener	listeners
stylist	stylists
vocation	vocations
condiment	condiments
anesthetic	anesthetics
bedroom	bedrooms
strand	strands
antidote	antidotes
trek	treks
bootleg	bootlegs
structure	structures
winger	wingers
lump	lumps
tutor	tutors
mosaic	mosaics
caliph	caliphs
scent	scents
shipyard	shipyards
spec	specs
machine	machines
cheetah	cheetahs
plea	pleas
saddle	saddles
shanty	shanties
initiate	initiates
rite	rites
cover	covers
nucleus	nuclei
outage	outages
brochure	brochures
obstetrician	obstetricians
rodent	rodents
methodology	methodologies
backbone	backbones
spree	sprees
minister	ministers
squirrel	squirrels
swede	swedes
advocate	advocates
despot	despots
junkie	junkies
hiker	hikers
native	natives
passenger	passengers
eatery	eateries
vegetarian	vegetarians
shopper	shoppers
airplane	airplanes
transition	transitions
insect	insects
approval	approvals
urn	urns
cable	cables
homicide	homicides
bloodline	bloodlines
state	states
coalition	coalitions
wearer	wearers
happening	happenings
decoration	decorations
instance	instances
explosive	explosives
drip	drips
radio	radios
apprehension	apprehensions
conspiracy	conspiracies
query	queries
capsule	capsules
ration	rations
cost	costs
umbrella	umbrellas
taboo	taboos
smear	smears
march	marches
rebel	rebels
chapel	chapels
originator	originators
classic	classics
martyr	martyrs
pervert	perverts
breeze	breezes
instructor	instructors
gasp	gasps
multiple	multiples
trader	traders
corporation	corporations
sting	stings
duel	duels
trick	tricks
homeland	homelands
partisan	partisans
commitment	commitments
stroller	strollers
debater	debaters
directive	directives
evaluation	evaluations
cough	coughs
deserter	deserters
knockout	knockouts
faction	factions
benefactor	benefactors
lock	locks
skin	skins
socialite	socialites
rabbit	rabbits
legislator	legislators
carcinogen	carcinogens
fax	faxes
hurricane	hurricanes
subversive	subversives
vista	vistas
composite	composites
hooker	hookers
walrus	walruses
goat	goats
liver	livers
shake	shakes
chat	chats
abrasion	abrasions
do	does
jetliner	jetliners
potato	potatoes
sweetener	sweeteners
tree	trees
spore	spores
total	totals
complex	complexes
surcharge	surcharges
trauma	traumas
wound	wounds
layout	layouts
chamber	chambers
mop	mops
judge	judges
euro	euros
proponent	proponents
razor	razors
brain	brains
knot	knots
pothole	potholes
starch	starches
mom	moms
overlap	overlaps
pusher	pushers
swan	swans
initial	initials
amateur	amateurs
sandal	sandals
hint	hints
stripe	stripes
megawatt	megawatts
walkout	walkouts
shell	shells
ballad	ballads
chairman	chairmen
stalker	stalkers
blockage	blockages
gator	gators
nude	nudes
camcorder	camcorders
proclamation	proclamations
resignation	resignations
dislike	dislikes
tripod	tripods
corridor	corridors
impact	impacts
shampoo	shampoos
justification	justifications
salon	salons
peacock	peacocks
cave	caves
viewpoint	viewpoints
buzzard	buzzards
cocoon	cocoons
caretaker	caretakers
associate	associates
scapegoat	scapegoats
embrace	embraces
repellent	repellents
difficulty	difficulties
hanging	hangings
cadre	cadres
snack	snacks
hectare	hectares
satellite	satellites
primate	primates
chapter	chapters
sermon	sermons
pioneer	pioneers
telescope	telescopes
locomotive	locomotives
dialogue	dialogues
vestige	vestiges
insight	insights
freezer	freezers
ballroom	ballrooms
flood	floods
jump	jumps
pan	pans
leopard	leopards
pueblo	pueblos
fusion	fusions
thigh	thighs
whisker	whiskers
dissenter	dissenters
microorganism	microorganisms
breed	breeds
grate	grates
memorandum	memoranda
graph	graphs
restoration	restorations
sandbag	sandbags
ink	inks
outing	outings
fissure	fissures
hall	halls
nip	nips
warehouse	warehouses
spine	spines
hunter	hunters
aftershock	aftershocks
function	functions
phase	phases
advertisement	advertisements
cancer	cancers
fascist	fascists
surprise	surprises
plate	plates
mortgage	mortgages
thicket	thickets
cowgirl	cowgirls
juice	juices
participant	participants
antique	antiques
contestant	contestants
look	looks
join	joins
counterattack	counterattacks
string	strings
dud	dudes
letter	letters
fallacy	fallacies
purchase	purchases
dare	dares
dock	docks
salute	salutes
sighting	sightings
pyramid	pyramids
claw	claws
pylon	pylons
spokesperson	spokespersons
stamp	stamps
tortilla	tortillas
glimpse	glimpses
soul	souls
vet	vets
tide	tides
possum	possums
knight	knights
slab	slabs
calamity	calamities
squirt	squirts
correspondent	correspondents
husky	huskies
portfolio	portfolios
toddler	toddlers
loser	losers
distiller	distillers
roster	rosters
quark	quarks
invader	invaders
attack	attacks
career	careers
cure	cures
lullaby	lullabies
exclusion	exclusions
confrontation	confrontations
transponder	transponders
alter	alters
ligament	ligaments
cormorant	cormorants
activist	activists
goaltender	goaltenders
dummy	dummies
diva	divas
elector	electors
catch	catches
protest	protests
chronicle	chronicles
appearance	appearances
tag	tags
precipitate	precipitates
paw	paws
buffer	buffers
bit	bits
saw	saws
passerby	passersby
disadvantage	disadvantages
planet	planets
bottleneck	bottlenecks
estuary	estuaries
feat	feats
sense	senses
finish	finishes
egg	eggs
generation	generations
playwright	playwrights
scrap	scraps
arbiter	arbiters
stew	stews
riff	riffs
hallucination	hallucinations
indentation	indentations
sorority	sororities
cabbage	cabbages
beggar	beggars
blog	blogs
voyager	voyagers
son	sons
miner	miners
droplet	droplets
leaf	leafs
reduction	reductions
superpower	superpowers
hose	hoses
deficiency	deficiencies
agency	agencies
prompt	prompts
sore	sores
ray	rays
concerto	concertos
pavilion	pavilions
compress	compresses
vacancy	vacancies
mugging	muggings
alien	aliens
leech	leeches
campground	campgrounds
orientation	orientations
medallion	medallions
computation	computations
passage	passages
voyage	voyages
fellow	fellows
statute	statutes
seeker	seekers
condominium	condominiums
count	counts
bonus	bonuses
poisoning	poisonings
glide	glides
fog	fogs
pretzel	pretzels
assistant	assistants
roach	roaches
crater	craters
coup	coups
shipment	shipments
germ	germs
feminist	feminists
enthusiast	enthusiasts
custodian	custodians
check	checks
beau	beaux
backyard	backyards
rick	ricks
wasp	wasps
racquet	racquets
term	terms
list	lists
rat	rates
migration	migrations
solicitor	solicitors
homer	homers
parson	parsons
rescue	rescues
apricot	apricots
vanity	vanities
llama	llamas
hypothesis	hypotheses
welder	welders
swing	swings
den	dens
threshold	thresholds
rafter	rafters
agitator	agitators
seal	seals
imitation	imitations
illustration	illustrations
group	groups
canary	canaries
confederate	confederates
turn	turns
confirmation	confirmations
enterprise	enterprises
audit	audits
bloom	blooms
disappearance	disappearances
rep	reps
guess	guesses
fanatic	fanatics
medium	media
burrow	burrows
referee	referees
presentation	presentations
buzzer	buzzers
pest	pests
ferret	ferrets
event	events
increase	increases
biscuit	biscuits
protester	protesters
discount	discounts
bankruptcy	bankruptcies
gull	gulls
kilo	kilos
dwarf	dwarfs
fuse	fuses
synonym	synonyms
repository	repositories
pulley	pulleys
follicle	follicles
volley	volleys
highway	highways
gathering	gatherings
propeller	propellers
predator	predators
race	races
bay	bays
manifestation	manifestations
verse	verses
tissue	tissues
professor	professors
site	sites
fraction	fractions
drama	dramas
bloc	blocs
precursor	precursors
taco	tacos
curator	curators
Hindu	Hindus
pontoon	pontoons
walnut	walnuts
shout	shouts
binder	binders
dye	dyes
tour	tours
cartoonist	cartoonists
ventricle	ventricles
dosage	dosages
marlin	marlins
believer	believers
puppy	puppies
freak	freaks
ringer	ringers
paddy	paddies
intestine	intestines
block	blocks
emplacement	emplacements
tone	tones
buy	buys
murder	murders
boil	boils
sprinter	sprinters
palm	palms
assassination	assassinations
typhoon	typhoons
ninja	ninjas
mill	mills
arc	arcs
expert	experts
oriole	orioles
housewife	housewives
butcher	butchers
sinner	sinners
shower	showers
inheritance	inheritances
ledger	ledgers
scout	scouts
tournament	tournaments
urge	urges
widow	widows
analysis	analyses
contraceptive	contraceptives
live	lives
liberty	liberties
ridge	ridges
brand	brands
riot	riots
orator	orators
squatter	squatters
contraction	contractions
battalion	battalions
finch	finches
racketeer	racketeers
squad	squads
sympathy	sympathies
optometrist	optometrists
monarch	monarchs
repair	repairs
manger	mangers
accomplice	accomplices
oddity	oddities
purse	purses
booking	bookings
trickle	trickles
valve	valves
curtain	curtains
niece	nieces
ballplayer	ballplayers
award	awards
mathematician	mathematicians
porch	porches
groundhog	groundhogs
colonel	colonels
stallion	stallions
romance	romances
condom	condoms
competitor	competitors
galleon	galleons
laptop	laptops
hostage	hostages
lifeboat	lifeboats
islet	islets
interlude	interludes
hand	hands
barb	barbs
flamingo	flamingos
meet	meets
snatch	snatches
kook	kooks
defense	defenses
motorcycle	motorcycles
osprey	ospreys
fender	fenders
chore	chores
beaker	beakers
guarantor	guarantors
ideal	ideals
spring	springs
clam	clams
coast	coasts
foe	foes
desk	desks
orphan	orphans
sauna	saunas
party	parties
grape	grapes
jackal	jackals
gas	gases
mall	malls
university	universities
republican	republicans
shortage	shortages
liar	liars
amenity	amenities
system	systems
molecule	molecules
balloon	balloons
rivalry	rivalries
cooker	cookers
saxophone	saxophones
dune	dunes
heel	heels
assumption	assumptions
hustler	hustlers
column	columns
bikini	bikinis
snowmobile	snowmobiles
controversy	controversies
scab	scabs
burger	burgers
technicality	technicalities
monastery	monasteries
constitution	constitutions
commoner	commoners
tart	tarts
hump	humps
habitat	habitats
ion	ions
loaf	loaves
disruption	disruptions
founder	founders
bike	bikes
bang	bangs
secretion	secretions
adviser	advisers
lay	lays
beet	beets
wedge	wedges
panic	panics
divider	dividers
tractor	tractors
tunic	tunics
tunnel	tunnels
townhouse	townhouses
skipper	skippers
price	prices
visual	visuals
burner	burners
call	calls
glance	glances
cross	crosses
browser	browsers
daughter	daughters
directory	directories
spokesperson	spokespeople
overdose	overdoses
movie	movies
asset	assets
earner	earners
city	cities
feather	feathers
booster	boosters
activity	activities
supporter	supporters
task	tasks
vest	vests
vandal	vandals
artery	arteries
auditorium	auditoriums
toss	tosses
shot	shots
trace	traces
lurch	lurches
coroner	coroners
superconductor	superconductors
